patient,drug,dose,plate,half,n_rows,frac_untestable
ACH-000120,Adenosine,0.05,4,0,62710,0.7035560516664009
ACH-000120,Adenosine,0.5,5,0,62710,0.6880720778185297
ACH-000120,Adenosine,5.0,14,0,62710,0.6813426885664169
ACH-000120,Adenosine,5.0,6,1,62710,0.673752192632754
ACH-000120,Afatinib,0.05,1,0,62710,0.6982140009567852
ACH-000120,Afatinib,0.05,13,1,62710,0.6688088024238559
ACH-000120,Afatinib,0.05,7,0,62710,0.715388295327699
ACH-000120,Afatinib,0.5,13,0,62710,0.6705150693669272
ACH-000120,Afatinib,0.5,2,1,62710,0.643629405198533
ACH-000120,Afatinib,0.5,8,0,62710,0.6428480306171265
ACH-000120,Afatinib,5.0,13,0,62710,0.6659703396587466
ACH-000120,Afatinib,5.0,3,1,62710,0.7596715037474087
ACH-000120,Afatinib,5.0,9,0,62710,0.7161696699091054
ACH-000120,Aliskiren,0.05,4,0,62710,0.6917875936852177
ACH-000120,Aliskiren,0.5,5,0,62710,0.6910062191038112
ACH-000120,Aliskiren,5.0,14,0,62710,0.6899059161218306
ACH-000120,Aliskiren,5.0,6,1,62710,0.6681390527826503
ACH-000120,Allantoin,0.05,4,0,62710,0.7123584755222453
ACH-000120,Allantoin,0.5,5,0,62710,0.7057407112103333
ACH-000120,Allantoin,5.0,14,0,62710,0.7048317652686972
ACH-000120,Allantoin,5.0,6,1,62710,0.6737362462127252
ACH-000120,Allopurinol,0.05,10,0,62710,0.6525115611545208
ACH-000120,Allopurinol,0.5,11,0,62710,0.666863339180354
ACH-000120,Allopurinol,5.0,12,0,62710,0.6284962525912933
ACH-000120,Almonertinib (hydrochloride),0.05,4,0,62710,0.7070483176526869
ACH-000120,Almonertinib (hydrochloride),0.5,5,0,62710,0.7025673736246213
ACH-000120,Almonertinib (hydrochloride),5.0,14,0,62710,0.7053579971296444
ACH-000120,Almonertinib (hydrochloride),5.0,6,1,62710,0.6825227236485409
ACH-000120,Almonertinib (mesylate),0.05,13,0,62710,0.6773879763992984
ACH-000120,Almonertinib (mesylate),0.05,7,1,62710,0.7098867804177962
ACH-000120,Almonertinib (mesylate),0.5,13,0,62710,0.6636102694944985
ACH-000120,Almonertinib (mesylate),0.5,8,1,62710,0.6106203157391166
ACH-000120,Almonertinib (mesylate),5.0,13,0,62710,0.6947057885504704
ACH-000120,Almonertinib (mesylate),5.0,9,1,62710,0.6819645989475362
ACH-000120,Alpelisib,0.05,1,0,62710,0.7046563546483814
ACH-000120,Alpelisib,0.5,2,0,62710,0.6556848987402328
ACH-000120,Alpelisib,5.0,3,0,62710,0.78585552543454
ACH-000120,Altretamine,0.05,7,0,62710,0.7055015149099028
ACH-000120,Altretamine,0.5,8,0,62710,0.635767820124382
