patient,drug,dose,n_first,n_second,n_both,jaccard
ACH-000120,(R)-Verapamil (hydrochloride),5.0,3,104,2,0.019
ACH-000120,18β-Glycyrrhetinic acid,5.0,18,234,11,0.0456
ACH-000120,8-Hydroxyquinoline,5.0,26,79,14,0.1538
ACH-000120,Acetohexamide,5.0,7,112,4,0.0348
ACH-000120,Adagrasib,0.05,148,266,50,0.1374
ACH-000120,Adenine,5.0,22,81,12,0.1319
ACH-000120,Adenosine,5.0,18,193,7,0.0343
ACH-000120,Afatinib,0.05,111,17,8,0.0667
ACH-000120,Afatinib,0.5,168,30,9,0.0476
ACH-000120,Afatinib,5.0,119,49,9,0.0566
ACH-000120,Aliskiren,5.0,2,69,2,0.029
ACH-000120,Allantoin,5.0,33,276,18,0.0619
ACH-000120,Almonertinib (hydrochloride),5.0,33,211,15,0.0655
ACH-000120,Almonertinib (mesylate),0.05,2,5,1,0.1667
ACH-000120,Almonertinib (mesylate),0.5,65,116,9,0.0523
ACH-000120,Almonertinib (mesylate),5.0,166,30,7,0.037
ACH-000120,Amsacrine,5.0,16,484,11,0.0225
ACH-000120,Anethole trithione,5.0,20,71,12,0.1519
ACH-000120,Artesunate,5.0,81,450,53,0.1109
ACH-000120,Azithromycin (hydrate),5.0,2,159,2,0.0126
ACH-000120,Baicalin,5.0,7,79,6,0.075
ACH-000120,Balsalazide (sodium hydrate),5.0,1,71,1,0.0141
ACH-000120,Belumosudil,0.05,4,6,2,0.25
ACH-000120,Belumosudil,0.5,31,615,13,0.0205
ACH-000120,Belumosudil,5.0,149,155,12,0.0411
ACH-000120,Berbamine,0.5,102,55,13,0.0903
ACH-000120,Berbamine,5.0,10,225,7,0.0307
ACH-000120,Berbamine (dihydrochloride),0.05,42,32,9,0.1385
ACH-000120,Berbamine (dihydrochloride),0.5,21,60,8,0.1096
ACH-000120,Berbamine (dihydrochloride),5.0,140,36,8,0.0476
ACH-000120,Berberine (chloride hydrate),5.0,5,65,4,0.0606
ACH-000120,Bergenin,5.0,8,135,5,0.0362
ACH-000120,Bimatoprost,5.0,9,133,4,0.029
ACH-000120,Binimetinib,0.05,233,320,51,0.1016
ACH-000120,Binimetinib,0.5,251,712,78,0.0881
ACH-000120,Binimetinib,5.0,599,23,13,0.0213
ACH-000120,Busulfan,5.0,23,177,9,0.0471
ACH-000120,Captopril,0.05,128,104,9,0.0404
ACH-000120,Cepharanthine,5.0,22,311,11,0.0342
ACH-000120,Chlorhexidine (diacetate),0.5,103,26,6,0.0488
ACH-000120,Chlorhexidine (diacetate),5.0,10,107,8,0.0734
ACH-000120,Ciclopirox,5.0,14,253,12,0.0471
ACH-000120,Clonidine (hydrochloride),5.0,7,153,4,0.0256
ACH-000120,Clotrimazole,5.0,25,180,14,0.0733
ACH-000120,Cloxacillin (sodium),5.0,3,23,2,0.0833
ACH-000120,Cysteamine (hydrochloride),5.0,3,107,2,0.0185
ACH-000120,Cytarabine,0.05,106,10,2,0.0175
ACH-000120,Cytarabine,0.5,78,55,8,0.064
ACH-000120,Cytarabine,5.0,44,116,5,0.0323
ACH-000120,Daidzin,0.05,39,17,5,0.098
ACH-000120,Daidzin,0.5,55,42,4,0.043
ACH-000120,Daidzin,5.0,147,77,7,0.0323
ACH-000120,Darinaparsin,5.0,5,471,4,0.0085
ACH-000120,Demeclocycline,5.0,5,60,4,0.0656
ACH-000120,Diammonium Glycyrrhizinate,5.0,11,163,9,0.0545
ACH-000120,Docetaxel,5.0,48,240,20,0.0746
ACH-000120,Elagolix sodium,5.0,13,205,9,0.0431
ACH-000120,Flumatinib (mesylate),0.05,61,44,8,0.0825
ACH-000120,Flumatinib (mesylate),0.5,30,450,12,0.0256
ACH-000120,Flumatinib (mesylate),5.0,31,91,9,0.0796
ACH-000120,Fluvoxamine (maleate),5.0,1,140,1,0.0071
ACH-000120,Folic acid,5.0,8,16,4,0.2
ACH-000120,Fumaric acid,0.05,30,17,3,0.0682
ACH-000120,Fumaric acid,0.5,48,112,10,0.0667
ACH-000120,Fumaric acid,5.0,46,175,7,0.0327
ACH-000120,Furosemide,5.0,4,86,3,0.0345
ACH-000120,Fusidic acid,5.0,1,39,0,0.0
ACH-000120,Gallic acid,5.0,4,75,3,0.0395
ACH-000120,Gallic acid (hydrate),5.0,21,130,12,0.0863
ACH-000120,Gemfibrozil,5.0,19,249,11,0.0428
ACH-000120,Goserelin (acetate),5.0,6,77,4,0.0506
ACH-000120,Hexylresorcinol,5.0,19,155,14,0.0875
ACH-000120,Homoharringtonine,5.0,1722,2985,1293,0.3787
ACH-000120,Hydroxyfasudil,0.05,91,63,8,0.0548
ACH-000120,Idarubicin (hydrochloride),5.0,736,1824,414,0.1929
ACH-000120,Irinotecan (hydrochloride),0.05,229,9,5,0.0215
ACH-000120,Irinotecan (hydrochloride),0.5,149,104,17,0.072
ACH-000120,Irinotecan (hydrochloride),5.0,287,19,10,0.0338
ACH-000120,Isocorydine,5.0,4,30,1,0.0303
ACH-000120,L-Thyroxine (sodium salt pentahydrate),5.0,43,209,10,0.0413
ACH-000120,Larotrectinib,5.0,8,256,7,0.0272
ACH-000120,Lenalidomide (hemihydrate),5.0,7,193,2,0.0101
ACH-000120,Lidocaine (hydrochloride),5.0,12,491,9,0.0182
ACH-000120,Lipoic acid,5.0,5,45,4,0.087
ACH-000120,Lumateperone (tosylate),5.0,4,75,4,0.0533
ACH-000120,Malotilate,0.05,662,35,13,0.019
ACH-000120,Medroxyprogesterone acetate,5.0,18,229,7,0.0292
ACH-000120,Megestrol,5.0,6,48,3,0.0588
ACH-000120,Methylprednisolone succinate,0.05,10,24,2,0.0625
ACH-000120,Mitoxantrone (dihydrochloride),5.0,25,625,12,0.0188
ACH-000120,Naproxen,0.05,5,49,3,0.0588
ACH-000120,Naproxen,0.5,8,112,6,0.0526
ACH-000120,Naproxen,5.0,17,37,5,0.102
ACH-000120,Neratinib (maleate),5.0,31,552,25,0.0448
ACH-000120,Norepinephrine (hydrochloride),5.0,6,225,4,0.0176
ACH-000120,Olanzapine,5.0,8,222,8,0.036
ACH-000120,Palmatine (chloride),5.0,8,130,4,0.0299
ACH-000120,Pasireotide (acetate),5.0,5,95,4,0.0417
ACH-000120,Pentagastrin,5.0,5,88,5,0.0568
ACH-000120,Pentamidine (isethionate),0.5,52,39,3,0.0341
ACH-000120,Pentamidine (isethionate),5.0,15,201,15,0.0746
ACH-000120,Pralsetinib,0.05,49,6,4,0.0784
ACH-000120,Pravastatin (sodium),0.05,61,27,6,0.0732
ACH-000120,Pravastatin (sodium),0.5,53,48,6,0.0632
ACH-000120,Pravastatin (sodium),5.0,135,72,15,0.0781
ACH-000120,Pyridoxine,5.0,14,214,11,0.0507
ACH-000120,Pyridoxine (hydrochloride),5.0,1,4,1,0.25
ACH-000120,Quinestrol,5.0,6,113,5,0.0439
ACH-000120,Radotinib,5.0,379,885,203,0.1913
ACH-000120,Ralimetinib dimesylate,0.05,36,46,4,0.0513
ACH-000120,Raltitrexed,5.0,2,56,2,0.0357
ACH-000120,Rapamycin,5.0,14,317,11,0.0344
ACH-000120,Regorafenib,0.05,9,15,1,0.0435
ACH-000120,Regorafenib,0.5,33,156,8,0.0442
ACH-000120,Regorafenib,5.0,33,2,0,0.0
ACH-000120,Relugolix,5.0,8,30,3,0.0857
ACH-000120,Resveratrol,5.0,63,165,13,0.0605
ACH-000120,Retinoic acid,5.0,22,292,16,0.0537
ACH-000120,Riluzole hydrochloride,5.0,2,217,1,0.0046
ACH-000120,Rimonabant,5.0,12,105,5,0.0446
ACH-000120,Ritonavir,5.0,4,288,4,0.0139
ACH-000120,Ropivacaine (hydrochloride monohydrate),5.0,6,241,6,0.0249
ACH-000120,S-Adenosyl-L-methionine (disulfate tosylate),5.0,5,250,5,0.02
ACH-000120,Salicylic acid,5.0,18,152,13,0.0828
ACH-000120,Saquinavir,5.0,32,340,13,0.0362
ACH-000120,Selinexor ,5.0,121,551,34,0.0533
ACH-000120,Sinomenine,5.0,14,41,5,0.1
ACH-000120,Sodium Salicylate,5.0,14,139,8,0.0552
ACH-000120,Sonidegib,0.05,29,142,9,0.0556
ACH-000120,Sulfisoxazole,0.5,294,71,14,0.0399
ACH-000120,Sulfisoxazole,5.0,3,208,0,0.0
ACH-000120,Temsirolimus,5.0,24,278,12,0.0414
ACH-000120,Terfenadine,0.5,593,129,33,0.0479
ACH-000120,Terfenadine,5.0,9,216,4,0.0181
ACH-000120,Thymol,5.0,9,114,3,0.025
ACH-000120,Tofacitinib,5.0,10,299,8,0.0266
ACH-000120,Tofacitinib (citrate),5.0,5,238,5,0.021
ACH-000120,Tolcapone,5.0,10,287,7,0.0241
ACH-000120,Topotecan (hydrochloride),0.05,26,51,8,0.1159
ACH-000120,Topotecan (hydrochloride),0.5,43,881,25,0.0278
ACH-000120,Topotecan (hydrochloride),5.0,17,688,5,0.0071
ACH-000120,Trametinib,0.05,79,817,23,0.0263
ACH-000120,Trametinib,0.5,298,551,87,0.1142
ACH-000120,Trametinib,5.0,736,20,3,0.004
ACH-000120,Triamcinolone,5.0,18,320,15,0.0464
ACH-000120,Triclosan,5.0,11,193,10,0.0515
ACH-000120,Trifluridine,5.0,18,195,5,0.024
ACH-000120,Trimetrexate,5.0,8,272,4,0.0145
ACH-000120,Tucidinostat,5.0,21,1920,20,0.0104
ACH-000120,Vilanterol,5.0,6,198,6,0.0303
ACH-000120,Vinblastine (sulfate),5.0,151,1436,125,0.0855
ACH-000120,olaparib,0.05,27,67,8,0.093
ACH-000138,(R)-Verapamil (hydrochloride),5.0,271,1895,172,0.0863
ACH-000138,18β-Glycyrrhetinic acid,5.0,616,1963,336,0.1498
ACH-000138,8-Hydroxyquinoline,5.0,617,2120,354,0.1486
ACH-000138,Acetohexamide,5.0,413,1702,177,0.0913
ACH-000138,Adagrasib,0.05,3768,3438,1744,0.3193
ACH-000138,Adenine,5.0,330,1689,174,0.0943
ACH-000138,Adenosine,5.0,554,2480,349,0.13
ACH-000138,Afatinib,0.05,2350,906,413,0.1453
ACH-000138,Afatinib,0.5,2050,2899,835,0.203
ACH-000138,Afatinib,5.0,1874,5113,1158,0.1987
ACH-000138,Aliskiren,5.0,395,1699,238,0.1282
ACH-000138,Allantoin,5.0,1016,2231,477,0.1722
ACH-000138,Almonertinib (hydrochloride),5.0,812,1935,385,0.163
ACH-000138,Almonertinib (mesylate),0.05,756,902,186,0.1264
ACH-000138,Almonertinib (mesylate),0.5,1339,1303,313,0.1344
ACH-000138,Almonertinib (mesylate),5.0,925,1281,260,0.1336
ACH-000138,Amsacrine,5.0,802,4456,624,0.1347
ACH-000138,Anethole trithione,5.0,833,2441,493,0.1773
ACH-000138,Artesunate,5.0,972,2305,628,0.2371
ACH-000138,Azithromycin (hydrate),5.0,616,1773,325,0.1575
ACH-000138,Baicalin,5.0,594,1957,363,0.1659
ACH-000138,Balsalazide (sodium hydrate),5.0,228,1743,140,0.0765
ACH-000138,Belumosudil,0.05,725,662,186,0.1549
ACH-000138,Belumosudil,0.5,1096,1503,307,0.1339
ACH-000138,Belumosudil,5.0,1256,2698,458,0.131
ACH-000138,Berbamine,0.5,1917,1036,412,0.1621
ACH-000138,Berbamine,5.0,479,1802,242,0.1187
ACH-000138,Berbamine (dihydrochloride),0.05,1392,630,273,0.1561
ACH-000138,Berbamine (dihydrochloride),0.5,1594,950,305,0.1362
ACH-000138,Berbamine (dihydrochloride),5.0,1019,1261,205,0.0988
ACH-000138,Berberine (chloride hydrate),5.0,406,1802,234,0.1185
ACH-000138,Bergenin,5.0,508,1680,255,0.1319
ACH-000138,Bimatoprost,5.0,596,1968,240,0.1033
ACH-000138,Binimetinib,0.05,2922,3178,1632,0.3653
ACH-000138,Binimetinib,0.5,3203,5487,1852,0.2708
ACH-000138,Binimetinib,5.0,3601,2374,1520,0.3412
ACH-000138,Busulfan,5.0,779,1702,331,0.154
ACH-000138,Captopril,0.05,1853,1123,319,0.1201
ACH-000138,Cepharanthine,5.0,743,2048,425,0.1796
ACH-000138,Chlorhexidine (diacetate),0.5,1777,1359,441,0.1636
ACH-000138,Chlorhexidine (diacetate),5.0,681,2517,427,0.1541
ACH-000138,Ciclopirox,5.0,576,3529,377,0.1011
ACH-000138,Clonidine (hydrochloride),5.0,465,2667,284,0.0997
ACH-000138,Clotrimazole,5.0,378,1933,229,0.11
ACH-000138,Cloxacillin (sodium),5.0,512,1340,235,0.1453
ACH-000138,Cysteamine (hydrochloride),5.0,345,1529,182,0.1076
ACH-000138,Cytarabine,0.05,1250,1053,325,0.1643
ACH-000138,Cytarabine,0.5,1050,729,151,0.0928
ACH-000138,Cytarabine,5.0,1018,2115,398,0.1455
ACH-000138,DTP3,0.05,8780,2580,180,0.0161
ACH-000138,Daidzin,0.05,1588,796,334,0.1629
ACH-000138,Daidzin,0.5,1345,1355,318,0.1335
ACH-000138,Daidzin,5.0,990,1546,266,0.1172
ACH-000138,Darinaparsin,5.0,856,3464,617,0.1666
ACH-000138,Demeclocycline,5.0,427,1205,137,0.0916
ACH-000138,Diammonium Glycyrrhizinate,5.0,438,2354,279,0.111
ACH-000138,Docetaxel,5.0,882,2495,550,0.1946
ACH-000138,Elagolix sodium,5.0,730,2205,352,0.1363
ACH-000138,Flumatinib (mesylate),0.05,1683,1110,386,0.1604
ACH-000138,Flumatinib (mesylate),0.5,1619,2042,484,0.1523
ACH-000138,Flumatinib (mesylate),5.0,1221,1362,303,0.1329
ACH-000138,Fluvoxamine (maleate),5.0,471,3018,351,0.1119
ACH-000138,Folic acid,5.0,302,1868,164,0.0818
ACH-000138,Fumaric acid,0.05,1192,1122,308,0.1535
ACH-000138,Fumaric acid,0.5,1259,1788,375,0.1403
ACH-000138,Fumaric acid,5.0,1424,2106,445,0.1442
ACH-000138,Furosemide,5.0,248,1339,143,0.099
ACH-000138,Fusidic acid,5.0,342,1778,228,0.1205
ACH-000138,Gallic acid,5.0,531,1811,268,0.1292
ACH-000138,Gallic acid (hydrate),5.0,656,2334,334,0.1258
ACH-000138,Gemfibrozil,5.0,742,2371,439,0.1642
ACH-000138,Goserelin (acetate),5.0,1159,1932,451,0.1708
ACH-000138,Hexylresorcinol,5.0,928,1828,484,0.213
ACH-000138,Homoharringtonine,5.0,9183,11345,7887,0.6239
ACH-000138,Hydroxyfasudil,0.05,531,1995,89,0.0365
ACH-000138,Idarubicin (hydrochloride),5.0,8188,12170,6992,0.5231
ACH-000138,Irinotecan (hydrochloride),0.05,2085,785,301,0.1172
ACH-000138,Irinotecan (hydrochloride),0.5,1953,1185,375,0.1357
ACH-000138,Irinotecan (hydrochloride),5.0,3003,1733,685,0.1691
ACH-000138,Isocorydine,5.0,609,1854,291,0.134
ACH-000138,L-Thyroxine (sodium salt pentahydrate),5.0,292,2328,79,0.0311
ACH-000138,Larotrectinib,5.0,464,1714,247,0.1279
ACH-000138,Lenalidomide (hemihydrate),5.0,404,2143,272,0.1196
ACH-000138,Lidocaine (hydrochloride),5.0,849,2846,472,0.1464
ACH-000138,Lipoic acid,5.0,545,1190,238,0.159
ACH-000138,Lumateperone (tosylate),5.0,314,1568,178,0.1045
ACH-000138,Malotilate,0.05,3120,1033,426,0.1143
ACH-000138,Medroxyprogesterone acetate,5.0,496,2291,288,0.1152
ACH-000138,Megestrol,5.0,600,1636,299,0.1544
ACH-000138,Methylprednisolone succinate,0.05,6084,1664,124,0.0163
ACH-000138,Mitoxantrone (dihydrochloride),5.0,839,7657,641,0.0816
ACH-000138,Naproxen,0.05,645,637,131,0.1138
ACH-000138,Naproxen,0.5,781,1175,202,0.1152
ACH-000138,Naproxen,5.0,702,447,132,0.1298
ACH-000138,Neratinib (maleate),5.0,666,3780,477,0.1202
ACH-000138,Norepinephrine (hydrochloride),5.0,406,2247,179,0.0724
ACH-000138,Olanzapine,5.0,545,2424,314,0.1183
ACH-000138,Palmatine (chloride),5.0,592,1806,314,0.1507
ACH-000138,Pasireotide (acetate),5.0,991,2091,464,0.1772
ACH-000138,Pentagastrin,5.0,455,2146,243,0.1031
ACH-000138,Pentamidine (isethionate),0.5,849,1623,220,0.0977
ACH-000138,Pentamidine (isethionate),5.0,717,2199,332,0.1285
ACH-000138,Pralsetinib,0.05,1663,876,290,0.1289
ACH-000138,Pravastatin (sodium),0.05,1199,668,205,0.1233
ACH-000138,Pravastatin (sodium),0.5,1346,758,235,0.1257
ACH-000138,Pravastatin (sodium),5.0,1487,1416,414,0.1663
ACH-000138,Pyridoxine,5.0,576,1926,259,0.1155
ACH-000138,Pyridoxine (hydrochloride),5.0,626,2004,328,0.1425
ACH-000138,Quinestrol,5.0,606,2356,384,0.149
ACH-000138,Radotinib,5.0,1243,2783,819,0.2554
ACH-000138,Ralimetinib dimesylate,0.05,8700,1795,84,0.0081
ACH-000138,Raltitrexed,5.0,536,2659,387,0.1378
ACH-000138,Rapamycin,5.0,731,3393,416,0.1122
ACH-000138,Regorafenib,0.05,945,1293,263,0.1332
ACH-000138,Regorafenib,0.5,946,2588,385,0.1223
ACH-000138,Regorafenib,5.0,1125,1576,373,0.1602
ACH-000138,Relugolix,5.0,321,1628,154,0.0858
ACH-000138,Resveratrol,5.0,907,2490,431,0.1453
ACH-000138,Retinoic acid,5.0,812,2744,518,0.1705
ACH-000138,Riluzole hydrochloride,5.0,1188,3079,664,0.1843
ACH-000138,Rimonabant,5.0,516,1796,292,0.1446
ACH-000138,Ritonavir,5.0,444,2299,308,0.1265
ACH-000138,Ropivacaine (hydrochloride monohydrate),5.0,655,2298,467,0.1879
ACH-000138,S-Adenosyl-L-methionine (disulfate tosylate),5.0,845,3209,598,0.173
ACH-000138,Salicylic acid,5.0,350,2224,213,0.0902
ACH-000138,Saquinavir,5.0,593,2491,301,0.1082
ACH-000138,Selinexor ,5.0,1905,5875,1311,0.2027
ACH-000138,Sinomenine,5.0,502,1543,290,0.1652
ACH-000138,Sodium Salicylate,5.0,836,2288,365,0.1323
ACH-000138,Sonidegib,0.05,361,2235,65,0.0257
ACH-000138,Sulfisoxazole,0.5,1902,1436,357,0.1198
ACH-000138,Sulfisoxazole,5.0,421,2513,231,0.0855
ACH-000138,Temsirolimus,5.0,544,2903,416,0.1372
ACH-000138,Terfenadine,0.5,2048,1541,465,0.1488
ACH-000138,Terfenadine,5.0,898,2589,480,0.1596
ACH-000138,Thymol,5.0,736,1061,222,0.141
ACH-000138,Tofacitinib,5.0,1098,3153,703,0.1981
ACH-000138,Tofacitinib (citrate),5.0,920,3023,566,0.1676
ACH-000138,Tolcapone,5.0,393,3017,266,0.0846
ACH-000138,Topotecan (hydrochloride),0.05,1368,995,232,0.1089
ACH-000138,Topotecan (hydrochloride),0.5,1248,6372,869,0.1287
ACH-000138,Topotecan (hydrochloride),5.0,1307,5242,713,0.1222
ACH-000138,Trametinib,0.05,2448,3013,1142,0.2644
ACH-000138,Trametinib,0.5,2610,5450,1677,0.2627
ACH-000138,Trametinib,5.0,3839,4139,1978,0.3297
ACH-000138,Triamcinolone,5.0,1663,3558,1028,0.2452
ACH-000138,Triclosan,5.0,467,1967,260,0.1196
ACH-000138,Trifluridine,5.0,224,2110,129,0.0585
ACH-000138,Trimetrexate,5.0,386,2588,250,0.0918
ACH-000138,Tucidinostat,5.0,1993,8237,1706,0.2001
ACH-000138,Vilanterol,5.0,781,2235,501,0.1992
ACH-000138,Vinblastine (sulfate),5.0,1892,6016,1543,0.2424
ACH-000138,olaparib,0.05,6866,1455,124,0.0151
ACH-000139,(R)-Verapamil (hydrochloride),5.0,156,1441,101,0.0675
ACH-000139,18β-Glycyrrhetinic acid,5.0,363,1296,178,0.1202
ACH-000139,8-Hydroxyquinoline,5.0,246,1373,138,0.0932
ACH-000139,Abemaciclib,0.05,5277,1270,62,0.0096
ACH-000139,Acetohexamide,5.0,213,985,89,0.0803
ACH-000139,Adagrasib,0.05,2035,2249,911,0.2701
ACH-000139,Adenine,5.0,255,1176,137,0.1059
ACH-000139,Adenosine,5.0,357,1655,190,0.1043
ACH-000139,Afatinib,0.05,993,359,104,0.0833
ACH-000139,Afatinib,0.5,955,1866,291,0.115
ACH-000139,Afatinib,5.0,788,2088,318,0.1243
ACH-000139,Aliskiren,5.0,337,1173,191,0.1448
ACH-000139,Allantoin,5.0,685,1725,316,0.1509
ACH-000139,Almonertinib (hydrochloride),5.0,471,1333,210,0.1317
ACH-000139,Almonertinib (mesylate),0.05,201,348,32,0.0619
ACH-000139,Almonertinib (mesylate),0.5,534,1224,154,0.096
ACH-000139,Almonertinib (mesylate),5.0,447,893,115,0.0939
ACH-000139,Amsacrine,5.0,484,2099,301,0.1319
ACH-000139,Anethole trithione,5.0,651,2020,382,0.1669
ACH-000139,Artesunate,5.0,585,1724,373,0.1927
ACH-000139,Azithromycin (hydrate),5.0,498,1310,241,0.1538
ACH-000139,Baicalin,5.0,332,1553,209,0.1247
ACH-000139,Balsalazide (sodium hydrate),5.0,189,1355,129,0.0912
ACH-000139,Belumosudil,0.05,310,203,56,0.1225
ACH-000139,Belumosudil,0.5,463,503,78,0.0878
ACH-000139,Belumosudil,5.0,689,1072,153,0.0951
ACH-000139,Berbamine,0.5,1310,570,204,0.1217
ACH-000139,Berbamine,5.0,159,1439,94,0.0625
ACH-000139,Berbamine (dihydrochloride),0.05,582,183,65,0.0929
ACH-000139,Berbamine (dihydrochloride),0.5,590,419,84,0.0908
ACH-000139,Berbamine (dihydrochloride),5.0,579,856,100,0.0749
ACH-000139,Berberine (chloride hydrate),5.0,325,1821,188,0.096
ACH-000139,Bergenin,5.0,239,834,113,0.1177
ACH-000139,Bimatoprost,5.0,399,1333,168,0.1074
ACH-000139,Binimetinib,0.05,1698,1773,685,0.2459
ACH-000139,Binimetinib,0.5,1494,4165,826,0.1709
ACH-000139,Binimetinib,5.0,2008,687,400,0.1743
ACH-000139,Busulfan,5.0,491,1168,217,0.1505
ACH-000139,Captopril,0.05,1385,561,135,0.0745
ACH-000139,Cepharanthine,5.0,480,1317,247,0.1594
ACH-000139,Chlorhexidine (diacetate),0.5,1349,885,244,0.1226
ACH-000139,Chlorhexidine (diacetate),5.0,281,1471,174,0.1103
ACH-000139,Ciclopirox,5.0,331,1824,196,0.1001
ACH-000139,Clonidine (hydrochloride),5.0,334,2268,203,0.0846
ACH-000139,Clotrimazole,5.0,263,1510,136,0.0831
ACH-000139,Cloxacillin (sodium),5.0,302,985,133,0.1153
ACH-000139,Cysteamine (hydrochloride),5.0,195,952,94,0.0893
ACH-000139,Cytarabine,0.05,611,412,121,0.1341
ACH-000139,Cytarabine,0.5,438,330,55,0.0771
ACH-000139,Cytarabine,5.0,485,1092,167,0.1184
ACH-000139,DTP3,0.05,7426,2039,76,0.0081
ACH-000139,Daidzin,0.05,737,326,105,0.1096
ACH-000139,Daidzin,0.5,514,547,70,0.0706
ACH-000139,Daidzin,5.0,604,988,120,0.0815
ACH-000139,Darinaparsin,5.0,550,2436,352,0.1336
ACH-000139,Demeclocycline,5.0,311,809,88,0.0853
ACH-000139,Diammonium Glycyrrhizinate,5.0,283,1856,171,0.0869
ACH-000139,Docetaxel,5.0,337,1463,184,0.1139
ACH-000139,Elagolix sodium,5.0,476,1535,210,0.1166
ACH-000139,Flumatinib (mesylate),0.05,644,426,109,0.1134
ACH-000139,Flumatinib (mesylate),0.5,714,1279,195,0.1085
ACH-000139,Flumatinib (mesylate),5.0,529,669,122,0.1134
ACH-000139,Fluvoxamine (maleate),5.0,333,2284,220,0.0918
ACH-000139,Folic acid,5.0,99,1460,58,0.0386
ACH-000139,Fumaric acid,0.05,477,508,103,0.1168
ACH-000139,Fumaric acid,0.5,499,1443,159,0.0892
ACH-000139,Fumaric acid,5.0,567,1697,197,0.0953
ACH-000139,Furosemide,5.0,107,707,48,0.0627
ACH-000139,Fusidic acid,5.0,183,1431,126,0.0847
ACH-000139,Gallic acid,5.0,250,1270,141,0.1022
ACH-000139,Gallic acid (hydrate),5.0,388,1327,180,0.1173
ACH-000139,Gemfibrozil,5.0,566,1687,287,0.146
ACH-000139,Goserelin (acetate),5.0,368,1695,210,0.1133
ACH-000139,Hexylresorcinol,5.0,380,1413,222,0.1413
ACH-000139,Homoharringtonine,5.0,5876,6653,4313,0.525
ACH-000139,Hydroxyfasudil,0.05,371,1186,49,0.0325
ACH-000139,Idarubicin (hydrochloride),5.0,6773,9610,5295,0.4775
ACH-000139,Irinotecan (hydrochloride),0.05,1548,266,98,0.0571
ACH-000139,Irinotecan (hydrochloride),0.5,1260,931,230,0.1173
ACH-000139,Irinotecan (hydrochloride),5.0,1377,647,195,0.1066
ACH-000139,Isocorydine,5.0,411,1112,159,0.1166
ACH-000139,L-Thyroxine (sodium salt pentahydrate),5.0,304,1758,42,0.0208
ACH-000139,Larotrectinib,5.0,258,1140,129,0.1017
ACH-000139,Lenalidomide (hemihydrate),5.0,337,1594,225,0.1319
ACH-000139,Lidocaine (hydrochloride),5.0,793,2225,421,0.1621
ACH-000139,Lipoic acid,5.0,145,732,91,0.1158
ACH-000139,Lumateperone (tosylate),5.0,154,1014,100,0.0936
ACH-000139,Malotilate,0.05,2578,397,175,0.0625
ACH-000139,Medroxyprogesterone acetate,5.0,428,1796,211,0.1048
ACH-000139,Megestrol,5.0,351,1140,180,0.1373
ACH-000139,Methylprednisolone succinate,0.05,1822,801,38,0.0147
ACH-000139,Mitoxantrone (dihydrochloride),5.0,329,5573,240,0.0424
ACH-000139,Naproxen,0.05,191,211,28,0.0749
ACH-000139,Naproxen,0.5,324,856,88,0.0806
ACH-000139,Naproxen,5.0,317,195,49,0.1058
ACH-000139,Neratinib (maleate),5.0,488,2640,305,0.108
ACH-000139,Norepinephrine (hydrochloride),5.0,263,1930,146,0.0713
ACH-000139,Olanzapine,5.0,345,1885,218,0.1083
ACH-000139,Palmatine (chloride),5.0,215,1372,135,0.093
ACH-000139,Pasireotide (acetate),5.0,620,1622,280,0.1427
ACH-000139,Pentagastrin,5.0,281,1561,152,0.0899
ACH-000139,Pentamidine (isethionate),0.5,515,930,95,0.0704
ACH-000139,Pentamidine (isethionate),5.0,307,1760,164,0.0862
ACH-000139,Pralsetinib,0.05,1151,466,139,0.094
ACH-000139,Pravastatin (sodium),0.05,411,230,36,0.0595
ACH-000139,Pravastatin (sodium),0.5,462,419,72,0.089
ACH-000139,Pravastatin (sodium),5.0,847,961,227,0.1436
ACH-000139,Pyridoxine,5.0,293,1419,139,0.0884
ACH-000139,Pyridoxine (hydrochloride),5.0,224,1101,92,0.0746
ACH-000139,Quinestrol,5.0,266,1519,159,0.0978
ACH-000139,Radotinib,5.0,886,1850,478,0.2117
ACH-000139,Raltitrexed,5.0,288,1805,183,0.0958
ACH-000139,Rapamycin,5.0,398,2613,246,0.089
ACH-000139,Regorafenib,0.05,757,652,143,0.113
ACH-000139,Regorafenib,0.5,397,2453,164,0.0611
ACH-000139,Regorafenib,5.0,419,276,42,0.0643
ACH-000139,Relugolix,5.0,164,1087,74,0.0629
ACH-000139,Resveratrol,5.0,615,1829,231,0.1044
ACH-000139,Retinoic acid,5.0,465,1534,233,0.1319
ACH-000139,Riluzole hydrochloride,5.0,864,2376,472,0.1705
ACH-000139,Rimonabant,5.0,325,1277,193,0.137
ACH-000139,Ritonavir,5.0,374,1767,255,0.1352
ACH-000139,Ropivacaine (hydrochloride monohydrate),5.0,462,1596,298,0.1693
ACH-000139,S-Adenosyl-L-methionine (disulfate tosylate),5.0,552,2160,381,0.1634
ACH-000139,Salicylic acid,5.0,189,1771,110,0.0595
ACH-000139,Saquinavir,5.0,372,1997,200,0.0922
ACH-000139,Selinexor ,5.0,1379,4261,883,0.1856
ACH-000139,Sinomenine,5.0,330,1045,159,0.1308
ACH-000139,Sodium Salicylate,5.0,689,1766,287,0.1324
ACH-000139,Sonidegib,0.05,2721,1234,96,0.0249
