patient,drug,dose,n_gene_doses,var_lfc_mean,mean_se2_mean,sigma2_plate_pooled,between_plate_fraction_pooled,n_responder_gene_doses,var_lfc_mean_responders,mean_se2_mean_responders,sigma2_plate_pooled_responders,between_plate_fraction_pooled_responders,n_nonresponder_gene_doses,var_lfc_mean_nonresponders,mean_se2_mean_nonresponders,sigma2_plate_pooled_nonresponders,between_plate_fraction_pooled_nonresponders
ACH-000120,(R)-Verapamil (hydrochloride),5.0,17314,1.482872,3.202046,0.0,0.0,3,0.088246,0.036189,0.052057,0.589909,17311,1.483114,3.202595,0.0,0.0
ACH-000120,18β-Glycyrrhetinic acid,5.0,16513,1.543075,3.511496,0.0,0.0,18,0.218082,0.073208,0.144874,0.66431,16495,1.544521,3.515248,0.0,0.0
ACH-000120,8-Hydroxyquinoline,5.0,16717,1.409215,3.19103,0.0,0.0,26,0.388975,0.099399,0.289576,0.744459,16691,1.410804,3.195846,0.0,0.0
ACH-000120,Acetohexamide,5.0,17316,1.504722,3.204985,0.0,0.0,7,0.16993,0.020092,0.149838,0.881764,17309,1.505262,3.206273,0.0,0.0
ACH-000120,Adagrasib,0.05,27374,1.829503,6.907766,0.0,0.0,148,0.330038,0.167059,0.162979,0.49382,27226,1.837654,6.944408,0.0,0.0
ACH-000120,Adenine,5.0,17079,1.361488,3.105085,0.0,0.0,22,0.369138,0.088838,0.2803,0.759337,17057,1.362768,3.108975,0.0,0.0
ACH-000120,Adenosine,5.0,17423,1.507467,3.109235,0.0,0.0,18,0.564261,0.061882,0.502379,0.89033,17405,1.508443,3.112386,0.0,0.0
ACH-000120,Afatinib,0.05,18558,1.631876,4.252893,0.0,0.0,111,0.744842,0.135192,0.60965,0.818496,18447,1.637214,4.27767,0.0,0.0
ACH-000120,Afatinib,0.5,21202,1.483137,3.865591,0.0,0.0,168,0.635962,0.068112,0.567849,0.892899,21034,1.489904,3.895922,0.0,0.0
ACH-000120,Afatinib,5.0,17466,1.83093,4.689269,0.0,0.0,119,1.243326,0.430539,0.812786,0.65372,17347,1.83496,4.718484,0.0,0.0
ACH-000120,Aliskiren,5.0,17245,1.450883,2.992117,0.0,0.0,2,0.221429,0.211393,0.010036,0.045322,17243,1.451025,2.99244,0.0,0.0
ACH-000120,Allantoin,5.0,16616,1.472861,3.266813,0.0,0.0,33,0.346946,0.074738,0.272207,0.784583,16583,1.475101,3.273165,0.0,0.0
ACH-000120,Almonertinib (hydrochloride),5.0,16390,1.537305,3.588965,0.0,0.0,33,0.395249,0.099405,0.295844,0.748501,16357,1.539609,3.596005,0.0,0.0
ACH-000120,Almonertinib (mesylate),0.05,16299,1.427061,3.118028,0.0,0.0,2,0.00437,0.005109,0.0,0.0,16297,1.427235,3.11841,0.0,0.0
ACH-000120,Almonertinib (mesylate),0.5,19434,1.279619,2.888846,0.0,0.0,65,0.307558,0.029319,0.278239,0.904671,19369,1.282881,2.898442,0.0,0.0
ACH-000120,Almonertinib (mesylate),5.0,16727,1.661945,3.494612,0.0,0.0,166,2.872152,0.443499,2.428653,0.845586,16561,1.649815,3.525195,0.0,0.0
ACH-000120,Amsacrine,5.0,16424,1.800698,3.660955,0.0,0.0,16,0.954795,0.151567,0.803228,0.841257,16408,1.801523,3.664377,0.0,0.0
ACH-000120,Anethole trithione,5.0,17034,1.411547,3.075637,0.0,0.0,20,0.260415,0.082263,0.178152,0.684109,17014,1.4129,3.079156,0.0,0.0
ACH-000120,Artesunate,5.0,16437,1.43909,3.238593,0.0,0.0,81,0.331634,0.100589,0.231044,0.696685,16356,1.444575,3.254133,0.0,0.0
ACH-000120,Azithromycin (hydrate),5.0,16655,1.491631,3.295105,0.0,0.0,2,0.073722,0.138577,0.0,0.0,16653,1.491801,3.295484,0.0,0.0
ACH-000120,Baicalin,5.0,17351,1.424864,3.105256,0.0,0.0,7,0.184954,0.021237,0.163717,0.885175,17344,1.425364,3.1065,0.0,0.0
ACH-000120,Balsalazide (sodium hydrate),5.0,17637,1.382281,2.891108,0.0,0.0,1,0.000949,0.005166,0.0,0.0,17636,1.38236,2.891271,0.0,0.0
ACH-000120,Belumosudil,0.05,17199,1.393352,3.013356,0.0,0.0,4,0.534004,0.019049,0.514954,0.964327,17195,1.393552,3.014052,0.0,0.0
ACH-000120,Belumosudil,0.5,19398,1.319177,2.940481,0.0,0.0,31,0.358144,0.046244,0.3119,0.870878,19367,1.320715,2.945113,0.0,0.0
ACH-000120,Belumosudil,5.0,16370,1.620324,3.26278,0.0,0.0,149,2.822045,0.618581,2.203464,0.780804,16221,1.609286,3.287069,0.0,0.0
ACH-000120,Berbamine,0.5,16959,1.469139,3.267359,0.0,0.0,102,1.096566,0.214136,0.88243,0.804721,16857,1.471393,3.285834,0.0,0.0
ACH-000120,Berbamine,5.0,16627,1.446937,3.226403,0.0,0.0,10,0.262771,0.053146,0.209625,0.797748,16617,1.447649,3.228313,0.0,0.0
ACH-000120,Berbamine (dihydrochloride),0.05,16561,1.384884,3.155647,0.0,0.0,42,0.404549,0.094455,0.310094,0.766518,16519,1.387377,3.16343,0.0,0.0
ACH-000120,Berbamine (dihydrochloride),0.5,18749,1.318608,2.872768,0.0,0.0,21,2.110172,0.135031,1.97514,0.936009,18728,1.31772,2.875838,0.0,0.0
ACH-000120,Berbamine (dihydrochloride),5.0,16536,1.645138,3.46893,0.0,0.0,140,2.739851,0.577159,2.162693,0.789347,16396,1.63579,3.493622,0.0,0.0
ACH-000120,Berberine (chloride hydrate),5.0,17281,1.416991,3.09121,0.0,0.0,5,0.089655,0.045604,0.044051,0.49134,17276,1.417375,3.092091,0.0,0.0
ACH-000120,Bergenin,5.0,16923,1.455311,3.15271,0.0,0.0,8,0.097589,0.03337,0.064219,0.658057,16915,1.455953,3.154185,0.0,0.0
ACH-000120,Bimatoprost,5.0,17358,1.491136,3.113371,0.0,0.0,9,0.316105,0.075097,0.241008,0.76243,17349,1.491745,3.114947,0.0,0.0
ACH-000120,Binimetinib,0.05,16502,1.480563,3.572824,0.0,0.0,233,1.948721,0.380506,1.568215,0.804741,16269,1.473858,3.618544,0.0,0.0
ACH-000120,Binimetinib,0.5,17360,1.462983,3.670383,0.0,0.0,251,1.365873,0.3629,1.002973,0.734309,17109,1.464408,3.718906,0.0,0.0
ACH-000120,Binimetinib,5.0,13144,1.583097,4.222788,0.0,0.0,599,1.572324,1.61064,0.0,0.0,12545,1.583611,4.347513,0.0,0.0
ACH-000120,Busulfan,5.0,16553,1.51141,3.377088,0.0,0.0,23,0.599894,0.119764,0.480129,0.800358,16530,1.512678,3.38162,0.0,0.0
ACH-000120,Captopril,0.05,17178,1.390587,3.163097,0.0,0.0,128,0.700971,0.085814,0.615158,0.877579,17050,1.395764,3.1862,0.0,0.0
ACH-000120,Cepharanthine,5.0,16349,1.660968,3.696324,0.0,0.0,22,0.679699,0.453718,0.225981,0.332472,16327,1.66229,3.700693,0.0,0.0
ACH-000120,Chlorhexidine (diacetate),0.5,17428,1.425079,3.117603,0.0,0.0,103,0.671231,0.063373,0.607858,0.905587,17325,1.429561,3.135761,0.0,0.0
ACH-000120,Chlorhexidine (diacetate),5.0,16969,1.429681,3.140941,0.0,0.0,10,0.232665,0.063559,0.169106,0.726821,16959,1.430386,3.142756,0.0,0.0
ACH-000120,Ciclopirox,5.0,16353,1.465801,3.399315,0.0,0.0,14,0.283757,0.089181,0.194576,0.685712,16339,1.466814,3.402152,0.0,0.0
ACH-000120,Clonidine (hydrochloride),5.0,17887,1.35828,2.994257,0.0,0.0,7,0.799022,0.074667,0.724355,0.906552,17880,1.358498,2.9954,0.0,0.0
ACH-000120,Clotrimazole,5.0,16925,1.49162,3.27268,0.0,0.0,25,0.488312,0.18235,0.305962,0.626572,16900,1.493104,3.277251,0.0,0.0
ACH-000120,Cloxacillin (sodium),5.0,17204,1.422985,3.119852,0.0,0.0,3,0.184106,0.051938,0.132169,0.717893,17201,1.423201,3.120388,0.0,0.0
ACH-000120,Cysteamine (hydrochloride),5.0,17263,1.41388,3.120794,0.0,0.0,3,0.077811,0.023815,0.053995,0.693933,17260,1.414112,3.121332,0.0,0.0
ACH-000120,Cytarabine,0.05,17056,1.430901,3.122684,0.0,0.0,106,0.938339,0.248935,0.689404,0.734707,16950,1.433981,3.140656,0.0,0.0
ACH-000120,Cytarabine,0.5,18663,1.325473,2.885752,0.0,0.0,78,0.504667,0.044658,0.460009,0.911511,18585,1.328918,2.897676,0.0,0.0
ACH-000120,Cytarabine,5.0,16668,1.48496,3.166027,0.0,0.0,44,0.428623,0.078669,0.349955,0.816462,16624,1.487756,3.174199,0.0,0.0
ACH-000120,Daidzin,0.05,16929,1.468737,3.077378,0.0,0.0,39,1.229277,0.087054,1.142222,0.929182,16890,1.46929,3.084283,0.0,0.0
ACH-000120,Daidzin,0.5,18616,1.292653,2.852499,0.0,0.0,55,0.709041,0.051871,0.65717,0.926843,18561,1.294383,2.860798,0.0,0.0
ACH-000120,Daidzin,5.0,16862,1.704822,3.476027,0.0,0.0,147,2.748616,0.56445,2.184165,0.794642,16715,1.695643,3.501633,0.0,0.0
ACH-000120,Darinaparsin,5.0,16904,1.487773,3.265532,0.0,0.0,5,0.215923,0.229533,0.0,0.0,16899,1.48815,3.26643,0.0,0.0
ACH-000120,Demeclocycline,5.0,16885,1.51841,3.114512,0.0,0.0,5,1.167064,0.130687,1.036377,0.88802,16880,1.518514,3.115395,0.0,0.0
ACH-000120,Diammonium Glycyrrhizinate,5.0,16796,1.457217,3.228948,0.0,0.0,11,0.287477,0.046608,0.240869,0.837873,16785,1.457983,3.231033,0.0,0.0
ACH-000120,Docetaxel,5.0,17657,1.473736,3.124239,0.0,0.0,48,0.338068,0.079166,0.258901,0.765827,17609,1.476832,3.13254,0.0,0.0
ACH-000120,Elagolix sodium,5.0,16842,1.508471,3.247896,0.0,0.0,13,0.399702,0.059158,0.340544,0.851995,16829,1.509328,3.250359,0.0,0.0
ACH-000120,Flumatinib (mesylate),0.05,16359,1.44874,3.11828,0.0,0.0,61,0.342202,0.070215,0.271986,0.794813,16298,1.452882,3.129688,0.0,0.0
ACH-000120,Flumatinib (mesylate),0.5,18833,1.335131,2.760443,0.0,0.0,30,0.400484,0.05196,0.348524,0.870257,18803,1.336623,2.764764,0.0,0.0
ACH-000120,Flumatinib (mesylate),5.0,16515,1.515702,3.127205,0.0,0.0,31,2.188481,0.142407,2.046074,0.934929,16484,1.514437,3.132818,0.0,0.0
ACH-000120,Fluvoxamine (maleate),5.0,16758,1.458828,3.173603,0.0,0.0,1,0.004827,0.014451,0.0,0.0,16757,1.458915,3.173791,0.0,0.0
ACH-000120,Folic acid,5.0,17233,1.390781,3.084824,0.0,0.0,8,0.198349,0.040319,0.15803,0.796729,17225,1.391335,3.086238,0.0,0.0
ACH-000120,Fumaric acid,0.05,16692,1.436998,3.076775,0.0,0.0,30,1.194828,0.139535,1.055293,0.883217,16662,1.437434,3.082064,0.0,0.0
ACH-000120,Fumaric acid,0.5,19014,1.344131,2.896937,0.0,0.0,48,0.812487,0.093167,0.719321,0.885332,18966,1.345477,2.904033,0.0,0.0
ACH-000120,Fumaric acid,5.0,17224,1.592648,3.066307,0.0,0.0,46,1.458667,0.131967,1.3267,0.909529,17178,1.593007,3.074165,0.0,0.0
ACH-000120,Furosemide,5.0,17253,1.474628,3.151224,0.0,0.0,4,0.120105,0.03194,0.088164,0.734064,17249,1.474942,3.151948,0.0,0.0
ACH-000120,Fusidic acid,5.0,17208,1.388681,3.078573,0.0,0.0,1,0.382833,0.040582,0.342251,0.893996,17207,1.38874,3.07875,0.0,0.0
ACH-000120,Gallic acid,5.0,16851,1.365442,3.14775,0.0,0.0,4,0.152408,0.041777,0.110631,0.725887,16847,1.36573,3.148488,0.0,0.0
ACH-000120,Gallic acid (hydrate),5.0,16744,1.457972,3.244951,0.0,0.0,21,0.317646,0.206704,0.110942,0.349263,16723,1.459404,3.248766,0.0,0.0
ACH-000120,Gemfibrozil,5.0,16877,1.522332,3.276657,0.0,0.0,19,0.261852,0.128373,0.133479,0.509748,16858,1.523753,3.280206,0.0,0.0
ACH-000120,Goserelin (acetate),5.0,17265,1.412269,3.042201,0.0,0.0,6,0.509628,0.048694,0.460933,0.904451,17259,1.412583,3.043241,0.0,0.0
ACH-000120,Hexylresorcinol,5.0,17372,1.435909,3.105787,0.0,0.0,19,0.115961,0.042524,0.073437,0.633289,17353,1.437354,3.109141,0.0,0.0
ACH-000120,Homoharringtonine,5.0,17119,1.538485,3.413505,0.0,0.0,1722,0.685087,0.469382,0.215705,0.314858,15397,1.633929,3.742776,0.0,0.0
ACH-000120,Hydroxyfasudil,0.05,16456,2.401862,4.026605,0.0,0.0,91,6.980761,1.005824,5.974937,0.855915,16365,2.3764,4.043402,0.0,0.0
ACH-000120,Idarubicin (hydrochloride),5.0,16466,1.809746,4.505709,0.0,0.0,736,1.969106,1.166726,0.80238,0.407484,15730,1.802289,4.661939,0.0,0.0
ACH-000120,Irinotecan (hydrochloride),0.05,16160,1.520121,3.273059,0.0,0.0,229,0.710092,0.130556,0.579536,0.816142,15931,1.531765,3.318231,0.0,0.0
ACH-000120,Irinotecan (hydrochloride),0.5,18409,1.366048,2.969031,0.0,0.0,149,1.303492,0.10275,1.200742,0.921173,18260,1.366558,2.992419,0.0,0.0
ACH-000120,Irinotecan (hydrochloride),5.0,16542,1.785724,3.54471,0.0,0.0,287,2.988859,0.443284,2.545575,0.851688,16255,1.764481,3.599469,0.0,0.0
ACH-000120,Isocorydine,5.0,17140,1.421625,3.171335,0.0,0.0,4,0.195477,0.031965,0.163511,0.836475,17136,1.421912,3.172068,0.0,0.0
ACH-000120,L-Thyroxine (sodium salt pentahydrate),5.0,15642,2.828961,4.452454,0.0,0.0,43,9.090198,1.102445,7.987753,0.878722,15599,2.811702,4.461689,0.0,0.0
ACH-000120,Larotrectinib,5.0,16770,1.600533,3.560961,0.0,0.0,8,0.085738,0.075502,0.010236,0.119384,16762,1.601256,3.562624,0.0,0.0
ACH-000120,Lenalidomide (hemihydrate),5.0,16319,1.487682,3.28813,0.0,0.0,7,0.609184,0.066933,0.54225,0.890126,16312,1.488059,3.289513,0.0,0.0
ACH-000120,Lidocaine (hydrochloride),5.0,16323,1.777479,3.690457,0.0,0.0,12,0.501071,0.110447,0.390623,0.779577,16311,1.778418,3.693091,0.0,0.0
ACH-000120,Lipoic acid,5.0,17267,1.401516,3.135985,0.0,0.0,5,0.27093,0.046079,0.22485,0.829921,17262,1.401844,3.13688,0.0,0.0
ACH-000120,Lumateperone (tosylate),5.0,17134,1.43277,3.109019,0.0,0.0,4,0.108552,0.046939,0.061613,0.567593,17130,1.433079,3.109734,0.0,0.0
ACH-000120,Malotilate,0.05,17176,1.487622,3.372095,0.0,0.0,662,1.71107,0.303843,1.407227,0.822425,16514,1.478665,3.495093,0.0,0.0
ACH-000120,Medroxyprogesterone acetate,5.0,16194,1.450419,3.382967,0.0,0.0,18,0.810023,0.076127,0.733895,0.906018,16176,1.451131,3.386647,0.0,0.0
ACH-000120,Megestrol,5.0,17501,1.442033,3.116734,0.0,0.0,6,0.284766,0.047166,0.2376,0.834368,17495,1.442429,3.117787,0.0,0.0
ACH-000120,Methylprednisolone succinate,0.05,16323,3.294815,4.447258,0.0,0.0,10,7.207078,0.251963,6.955115,0.965039,16313,3.292417,4.449829,0.0,0.0
ACH-000120,Mitoxantrone (dihydrochloride),5.0,16967,1.969872,3.576101,0.0,0.0,25,1.021552,0.161615,0.859937,0.841795,16942,1.971271,3.581139,0.0,0.0
ACH-000120,Naproxen,0.05,15751,1.423785,3.375359,0.0,0.0,5,0.611067,0.005431,0.605637,0.991113,15746,1.424043,3.376429,0.0,0.0
ACH-000120,Naproxen,0.5,18813,1.270216,2.890796,0.0,0.0,8,0.328199,0.00655,0.321648,0.980042,18805,1.270617,2.892023,0.0,0.0
ACH-000120,Naproxen,5.0,16197,1.423661,3.225255,0.0,0.0,17,1.873726,0.17322,1.700507,0.907553,16180,1.423188,3.228462,0.0,0.0
ACH-000120,Neratinib (maleate),5.0,16810,1.452444,3.203111,0.0,0.0,31,0.153722,0.062592,0.09113,0.592824,16779,1.454844,3.208913,0.0,0.0
ACH-000120,Norepinephrine (hydrochloride),5.0,16688,1.542703,3.226404,0.0,0.0,6,0.29202,0.059486,0.232533,0.796293,16682,1.543153,3.227543,0.0,0.0
ACH-000120,Olanzapine,5.0,17028,1.493118,3.152461,0.0,0.0,8,0.623672,0.347726,0.275946,0.442454,17020,1.493527,3.153779,0.0,0.0
ACH-000120,Palmatine (chloride),5.0,16660,1.439191,3.233237,0.0,0.0,8,0.531427,0.070708,0.46072,0.866948,16652,1.439627,3.234757,0.0,0.0
ACH-000120,Pasireotide (acetate),5.0,17726,1.387564,2.946392,0.0,0.0,5,0.225664,0.082526,0.143138,0.634297,17721,1.387892,2.9472,0.0,0.0
ACH-000120,Pentagastrin,5.0,17579,1.34713,3.03026,0.0,0.0,5,0.182622,0.052755,0.129867,0.711126,17574,1.347461,3.031108,0.0,0.0
ACH-000120,Pentamidine (isethionate),0.5,16723,1.534501,3.190373,0.0,0.0,52,2.092791,0.42623,1.666561,0.796334,16671,1.53276,3.198995,0.0,0.0
ACH-000120,Pentamidine (isethionate),5.0,17124,1.459466,3.198465,0.0,0.0,15,0.207359,0.080041,0.127318,0.613997,17109,1.460564,3.201199,0.0,0.0
ACH-000120,Pralsetinib,0.05,17579,1.509585,3.048067,0.0,0.0,49,0.714719,0.076728,0.637991,0.892646,17530,1.511807,3.056372,0.0,0.0
ACH-000120,Pravastatin (sodium),0.05,16003,1.415339,3.188859,0.0,0.0,61,0.60408,0.08765,0.51643,0.854904,15942,1.418443,3.200725,0.0,0.0
ACH-000120,Pravastatin (sodium),0.5,18337,1.310493,2.913163,0.0,0.0,53,0.494637,0.036444,0.458194,0.926322,18284,1.312858,2.921502,0.0,0.0
ACH-000120,Pravastatin (sodium),5.0,16905,1.63511,3.162254,0.0,0.0,135,2.156108,0.25598,1.900128,0.881277,16770,1.630916,3.18565,0.0,0.0
ACH-000120,Pyridoxine,5.0,16864,1.455589,3.239505,0.0,0.0,14,0.476844,0.101096,0.375748,0.78799,16850,1.456402,3.242112,0.0,0.0
ACH-000120,Pyridoxine (hydrochloride),5.0,17419,1.40753,3.006004,0.0,0.0,1,0.000529,0.007737,0.0,0.0,17418,1.407611,3.006176,0.0,0.0
ACH-000120,Quinestrol,5.0,17296,1.425373,3.113436,0.0,0.0,6,0.149086,0.049513,0.099573,0.667889,17290,1.425815,3.114499,0.0,0.0
ACH-000120,Radotinib,5.0,16585,1.41642,3.255805,0.0,0.0,379,0.378025,0.160166,0.217859,0.576308,16206,1.440704,3.328201,0.0,0.0
ACH-000120,Ralimetinib dimesylate,0.05,16108,3.42842,4.389873,0.0,0.0,36,9.478157,1.284165,8.193992,0.864513,16072,3.414869,4.396829,0.0,0.0
ACH-000120,Raltitrexed,5.0,17461,1.342039,2.99336,0.0,0.0,2,0.083944,0.074203,0.009741,0.116045,17459,1.342183,2.993695,0.0,0.0
ACH-000120,Rapamycin,5.0,17523,1.489984,3.103842,0.0,0.0,14,0.1062,0.235793,0.0,0.0,17509,1.49109,3.106135,0.0,0.0
ACH-000120,Regorafenib,0.05,17420,1.466488,3.072541,0.0,0.0,9,0.58773,0.038155,0.549575,0.935081,17411,1.466942,3.07411,0.0,0.0
ACH-000120,Regorafenib,0.5,18405,1.404112,2.980704,0.0,0.0,33,0.845272,0.066336,0.778937,0.921522,18372,1.405116,2.985939,0.0,0.0
ACH-000120,Regorafenib,5.0,14020,1.643105,3.82225,0.0,0.0,33,0.540822,0.255451,0.285371,0.527661,13987,1.645706,3.830666,0.0,0.0
ACH-000120,Relugolix,5.0,17464,1.414682,3.084239,0.0,0.0,8,0.252872,0.023159,0.229712,0.908415,17456,1.415214,3.085641,0.0,0.0
ACH-000120,Resveratrol,5.0,16418,1.477988,3.274594,0.0,0.0,63,1.143947,0.128628,1.015318,0.887557,16355,1.479275,3.286712,0.0,0.0
ACH-000120,Retinoic acid,5.0,17428,1.41145,3.135242,0.0,0.0,22,0.684764,0.188096,0.496668,0.725312,17406,1.412369,3.138967,0.0,0.0
ACH-000120,Riluzole hydrochloride,5.0,17417,1.419448,3.012705,0.0,0.0,2,0.943813,0.556782,0.387031,0.410071,17415,1.419503,3.012987,0.0,0.0
ACH-000120,Rimonabant,5.0,16898,1.429348,3.14644,0.0,0.0,12,0.408428,0.091092,0.317336,0.77697,16886,1.430074,3.148611,0.0,0.0
ACH-000120,Ritonavir,5.0,16761,1.505903,3.413354,0.0,0.0,4,0.532352,0.135228,0.397124,0.745981,16757,1.506136,3.414136,0.0,0.0
ACH-000120,Ropivacaine (hydrochloride monohydrate),5.0,16686,1.434017,3.272918,0.0,0.0,6,0.250343,0.050069,0.200274,0.799998,16680,1.434443,3.274077,0.0,0.0
ACH-000120,S-Adenosyl-L-methionine (disulfate tosylate),5.0,16969,1.434276,3.145912,0.0,0.0,5,0.65143,0.191818,0.459612,0.705544,16964,1.434507,3.146782,0.0,0.0
ACH-000120,Salicylic acid,5.0,17306,1.488256,3.202441,0.0,0.0,18,0.37977,0.197845,0.181925,0.479039,17288,1.48941,3.20557,0.0,0.0
ACH-000120,Saquinavir,5.0,16036,1.497319,3.565659,0.0,0.0,32,0.724963,0.139328,0.585635,0.807813,16004,1.498863,3.57251,0.0,0.0
ACH-000120,Selinexor ,5.0,15807,1.534481,3.986616,0.0,0.0,121,1.923465,0.361024,1.562441,0.812306,15686,1.531481,4.014583,0.0,0.0
ACH-000120,Sinomenine,5.0,16722,1.442368,3.218622,0.0,0.0,14,0.541656,0.069803,0.471853,0.87113,16708,1.443123,3.22126,0.0,0.0
ACH-000120,Sodium Salicylate,5.0,17284,1.523445,3.20479,0.0,0.0,14,0.274876,0.144365,0.130511,0.474799,17270,1.524457,3.207271,0.0,0.0
ACH-000120,Sonidegib,0.05,16495,2.923379,4.291255,0.0,0.0,29,5.687548,0.516032,5.171515,0.90927,16466,2.91851,4.297904,0.0,0.0
ACH-000120,Sulfisoxazole,0.5,16760,1.511969,3.257876,0.0,0.0,294,1.321893,0.235928,1.085965,0.821523,16466,1.515363,3.311833,0.0,0.0
ACH-000120,Sulfisoxazole,5.0,16833,1.496035,3.222024,0.0,0.0,3,0.319783,0.063011,0.256772,0.802957,16830,1.496244,3.222587,0.0,0.0
ACH-000120,Temsirolimus,5.0,16884,1.434374,3.162658,0.0,0.0,24,0.434534,0.092331,0.342203,0.787517,16860,1.435797,3.167029,0.0,0.0
ACH-000120,Terfenadine,0.5,16488,1.567773,3.376597,0.0,0.0,593,1.259022,0.21481,1.044212,0.829383,15895,1.579291,3.494554,0.0,0.0
ACH-000120,Terfenadine,5.0,16631,1.511064,3.201163,0.0,0.0,9,0.349003,0.048696,0.300307,0.86047,16622,1.511694,3.20287,0.0,0.0
ACH-000120,Thymol,5.0,16389,1.511116,3.45453,0.0,0.0,9,1.04904,0.116307,0.932734,0.88913,16380,1.51137,3.456364,0.0,0.0
ACH-000120,Tofacitinib,5.0,16628,1.47021,3.309909,0.0,0.0,10,0.257782,0.063092,0.19469,0.755252,16618,1.470939,3.311863,0.0,0.0
ACH-000120,Tofacitinib (citrate),5.0,16923,1.569872,3.198455,0.0,0.0,5,0.106839,0.02149,0.085349,0.798861,16918,1.570304,3.199393,0.0,0.0
ACH-000120,Tolcapone,5.0,16680,1.464489,3.221395,0.0,0.0,10,0.463238,0.081398,0.38184,0.824285,16670,1.46509,3.223279,0.0,0.0
ACH-000120,Topotecan (hydrochloride),0.05,16154,1.464622,3.191551,0.0,0.0,26,3.102528,0.72948,2.373047,0.764875,16128,1.461982,3.19552,0.0,0.0
ACH-000120,Topotecan (hydrochloride),0.5,18998,1.415522,2.980397,0.0,0.0,43,1.19997,0.035018,1.164952,0.970817,18955,1.416011,2.987078,0.0,0.0
ACH-000120,Topotecan (hydrochloride),5.0,15913,1.816604,3.599596,0.0,0.0,17,4.134058,1.169713,2.964345,0.717055,15896,1.814125,3.602195,0.0,0.0
ACH-000120,Trametinib,0.05,16632,1.475293,3.357771,0.0,0.0,79,0.677548,0.093306,0.584242,0.862289,16553,1.4791,3.373351,0.0,0.0
ACH-000120,Trametinib,0.5,17299,1.532162,3.593094,0.0,0.0,298,0.839681,0.220496,0.619185,0.737405,17001,1.544301,3.65221,0.0,0.0
ACH-000120,Trametinib,5.0,13962,1.691601,3.827243,0.0,0.0,736,1.410183,1.194571,0.215613,0.152897,13226,1.707261,3.973746,0.0,0.0
ACH-000120,Triamcinolone,5.0,16587,1.433385,3.181408,0.0,0.0,18,0.376503,0.144114,0.232389,0.617229,16569,1.434533,3.184708,0.0,0.0
ACH-000120,Triclosan,5.0,17176,1.459781,3.169367,0.0,0.0,11,0.051926,0.035786,0.016139,0.310813,17165,1.460683,3.171375,0.0,0.0
ACH-000120,Trifluridine,5.0,16451,1.449822,3.28002,0.0,0.0,18,0.525097,0.088245,0.436851,0.831945,16433,1.450835,3.283516,0.0,0.0
ACH-000120,Trimetrexate,5.0,16565,1.520701,3.353116,0.0,0.0,8,0.35474,0.066037,0.288703,0.813844,16557,1.521264,3.354704,0.0,0.0
ACH-000120,Tucidinostat,5.0,17293,1.86012,3.442592,0.0,0.0,21,0.494106,0.217173,0.276933,0.560473,17272,1.861781,3.446514,0.0,0.0
ACH-000120,Vilanterol,5.0,16694,1.499513,3.322146,0.0,0.0,6,0.30101,0.053753,0.247256,0.821423,16688,1.499944,3.323321,0.0,0.0
ACH-000120,Vinblastine (sulfate),5.0,16745,1.592038,3.348124,0.0,0.0,151,0.822614,0.154571,0.668043,0.812098,16594,1.59904,3.377185,0.0,0.0
ACH-000120,olaparib,0.05,16447,2.953757,4.422934,0.0,0.0,27,10.14913,1.168343,8.980787,0.884882,16420,2.941926,4.428285,0.0,0.0
ACH-000138,(R)-Verapamil (hydrochloride),5.0,25171,1.126399,2.531725,0.0,0.0,271,0.152587,0.029361,0.123226,0.80758,24900,1.136997,2.558959,0.0,0.0
ACH-000138,18β-Glycyrrhetinic acid,5.0,24419,1.182754,2.729793,0.0,0.0,616,0.16362,0.043124,0.120496,0.736436,23803,1.209128,2.799322,0.0,0.0
ACH-000138,8-Hydroxyquinoline,5.0,24714,1.12877,2.531612,0.0,0.0,617,0.185009,0.037924,0.147085,0.795015,24097,1.152935,2.595463,0.0,0.0
ACH-000138,Acetohexamide,5.0,24863,1.188106,2.661535,0.0,0.0,413,0.172375,0.030587,0.141788,0.822555,24450,1.205264,2.705976,0.0,0.0
ACH-000138,Adagrasib,0.05,35881,1.559696,5.714753,0.0,0.0,3768,0.172641,0.089105,0.083536,0.483873,32113,1.722447,6.374842,0.0,0.0
ACH-000138,Adenine,5.0,24604,1.109395,2.466139,0.0,0.0,330,0.263684,0.041199,0.222485,0.843757,24274,1.120892,2.499106,0.0,0.0
ACH-000138,Adenosine,5.0,25017,1.16973,2.692761,0.0,0.0,554,0.112388,0.034809,0.077579,0.690279,24463,1.193675,2.752954,0.0,0.0
ACH-000138,Afatinib,0.05,27214,1.362737,3.491589,0.0,0.0,2350,0.632654,0.219272,0.413382,0.653409,24864,1.43174,3.80087,0.0,0.0
ACH-000138,Afatinib,0.5,29344,1.338353,3.315841,0.0,0.0,2050,0.290608,0.036786,0.253822,0.873419,27294,1.417047,3.562124,0.0,0.0
ACH-000138,Afatinib,5.0,27227,1.497303,3.566989,0.0,0.0,1875,0.544755,0.060442,0.484314,0.889048,25352,1.567752,3.826328,0.0,0.0
ACH-000138,Aliskiren,5.0,25147,1.13445,2.514563,0.0,0.0,395,0.111983,0.029949,0.082034,0.732558,24752,1.150766,2.554213,0.0,0.0
