patient,drug,dose,n_gene_doses,var_lfc_mean,mean_se2_mean,sigma2_plate_pooled,between_plate_fraction_pooled,n_responder_gene_doses,var_lfc_mean_responders,mean_se2_mean_responders,sigma2_plate_pooled_responders,between_plate_fraction_pooled_responders,n_nonresponder_gene_doses,var_lfc_mean_nonresponders,mean_se2_mean_nonresponders,sigma2_plate_pooled_nonresponders,between_plate_fraction_pooled_nonresponders
ACH-001333,Ciclopirox,5.0,22078,1.174935,2.854234,0.0,0.0,97,0.476784,0.092899,0.383885,0.805155,21981,1.178016,2.86642,0.0,0.0
ACH-001333,Clonidine (hydrochloride),5.0,23298,1.122291,2.563083,0.0,0.0,114,0.249053,0.044331,0.204722,0.822001,23184,1.126585,2.575468,0.0,0.0
ACH-001333,Clotrimazole,5.0,22936,1.172592,2.654128,0.0,0.0,146,0.62489,0.124244,0.500647,0.801175,22790,1.176101,2.670335,0.0,0.0
ACH-001333,Cloxacillin (sodium),5.0,22927,1.162544,2.574938,0.0,0.0,65,0.512088,0.082638,0.42945,0.838625,22862,1.164394,2.582024,0.0,0.0
ACH-001333,Cysteamine (hydrochloride),5.0,22584,1.16728,2.619826,0.0,0.0,27,0.142855,0.026493,0.116362,0.814547,22557,1.168506,2.622931,0.0,0.0
ACH-001333,Cytarabine,0.05,20741,1.234081,2.788657,0.0,0.0,168,0.822417,0.15363,0.668787,0.813197,20573,1.237442,2.810174,0.0,0.0
ACH-001333,Cytarabine,0.5,22302,1.184348,2.701301,0.0,0.0,84,0.393144,0.023031,0.370113,0.941418,22218,1.187339,2.711426,0.0,0.0
ACH-001333,Cytarabine,5.0,20091,1.28272,2.813366,0.0,0.0,42,0.200517,0.031026,0.16949,0.845268,20049,1.284987,2.819194,0.0,0.0
ACH-001333,DTP3,0.05,21888,6.5713,3.276962,3.294338,0.501322,3481,21.382218,6.935712,14.446506,0.675632,18407,3.770365,2.585045,1.18532,0.314378
ACH-001333,Daidzin,0.05,20257,1.327094,2.827442,0.0,0.0,135,0.788858,0.090219,0.698639,0.885634,20122,1.330705,2.845806,0.0,0.0
ACH-001333,Daidzin,0.5,22064,1.207337,2.637178,0.0,0.0,121,0.577025,0.037896,0.539129,0.934325,21943,1.210812,2.651511,0.0,0.0
ACH-001333,Daidzin,5.0,20307,1.394047,3.069625,0.0,0.0,262,1.633483,0.292839,1.340644,0.820727,20045,1.390917,3.105919,0.0,0.0
ACH-001333,Darinaparsin,5.0,22777,1.207415,2.840428,0.0,0.0,175,0.481006,0.09969,0.381316,0.792747,22602,1.21304,2.861649,0.0,0.0
ACH-001333,Demeclocycline,5.0,22812,1.209488,2.832997,0.0,0.0,80,0.62854,0.134903,0.493637,0.78537,22732,1.211532,2.842492,0.0,0.0
ACH-001333,Diammonium Glycyrrhizinate,5.0,22481,1.169028,2.659155,0.0,0.0,107,0.534516,0.08688,0.447635,0.83746,22374,1.172063,2.671456,0.0,0.0
ACH-001333,Docetaxel,5.0,23503,1.238476,2.710482,0.0,0.0,174,0.147775,0.037315,0.11046,0.747489,23329,1.246611,2.73042,0.0,0.0
ACH-001333,Elagolix sodium,5.0,22416,1.151834,2.696408,0.0,0.0,182,0.488463,0.092817,0.395646,0.809981,22234,1.157264,2.71772,0.0,0.0
ACH-001333,Flumatinib (mesylate),0.05,19534,1.279375,2.830218,0.0,0.0,80,0.240529,0.060776,0.179753,0.747323,19454,1.283647,2.841606,0.0,0.0
ACH-001333,Flumatinib (mesylate),0.5,22205,1.215024,2.725858,0.0,0.0,278,0.25251,0.038394,0.214116,0.847949,21927,1.227227,2.759931,0.0,0.0
ACH-001333,Flumatinib (mesylate),5.0,19580,1.339994,2.897711,0.0,0.0,161,1.213718,0.127519,1.086199,0.894935,19419,1.341041,2.920678,0.0,0.0
ACH-001333,Fluvoxamine (maleate),5.0,22477,1.154154,2.663051,0.0,0.0,84,0.517562,0.096216,0.421346,0.814098,22393,1.156542,2.67268,0.0,0.0
ACH-001333,Folic acid,5.0,22520,1.136751,2.583758,0.0,0.0,73,0.469486,0.072245,0.397241,0.846119,22447,1.138921,2.591925,0.0,0.0
ACH-001333,Fumaric acid,0.05,19987,1.291217,2.829145,0.0,0.0,147,0.691671,0.188144,0.503527,0.727986,19840,1.295659,2.848713,0.0,0.0
ACH-001333,Fumaric acid,0.5,22461,1.278253,2.685651,0.0,0.0,195,0.664929,0.06798,0.596949,0.897764,22266,1.283624,2.708576,0.0,0.0
ACH-001333,Fumaric acid,5.0,20314,1.464366,2.87346,0.0,0.0,313,1.103871,0.129216,0.974654,0.882943,20001,1.470007,2.916405,0.0,0.0
ACH-001333,Furosemide,5.0,22943,1.210652,2.678073,0.0,0.0,48,0.234209,0.03361,0.200599,0.856495,22895,1.212699,2.683617,0.0,0.0
ACH-001333,Fusidic acid,5.0,22734,1.133737,2.628641,0.0,0.0,58,0.388801,0.075829,0.312972,0.804968,22676,1.135642,2.635171,0.0,0.0
ACH-001333,Gallic acid,5.0,22667,1.109943,2.575323,0.0,0.0,113,0.267097,0.041135,0.225962,0.845993,22554,1.114166,2.58802,0.0,0.0
ACH-001333,Gallic acid (hydrate),5.0,22445,1.19684,2.789987,0.0,0.0,192,0.488808,0.085997,0.402811,0.824068,22253,1.202949,2.813318,0.0,0.0
ACH-001333,Gemfibrozil,5.0,22632,1.195823,2.707988,0.0,0.0,116,0.378611,0.091656,0.286955,0.757915,22516,1.200034,2.721467,0.0,0.0
ACH-001333,Goserelin (acetate),5.0,23168,1.158231,2.590385,0.0,0.0,112,0.276726,0.048381,0.228346,0.825168,23056,1.162513,2.602733,0.0,0.0
ACH-001333,Hexylresorcinol,5.0,23725,1.175728,2.625834,0.0,0.0,239,0.443919,0.072011,0.371909,0.837784,23486,1.183175,2.651822,0.0,0.0
ACH-001333,Homoharringtonine,5.0,21824,1.402046,3.32453,0.0,0.0,3301,0.820679,0.457472,0.363207,0.442569,18523,1.505652,3.835471,0.0,0.0
ACH-001333,Hydroxyfasudil,0.05,21768,3.410729,3.482549,0.0,0.0,374,6.730751,1.115341,5.615411,0.834292,21394,3.35269,3.523931,0.0,0.0
ACH-001333,Idarubicin (hydrochloride),5.0,24257,1.326447,3.0499,0.0,0.0,4580,0.623101,0.399443,0.223658,0.358943,19677,1.490158,3.666818,0.0,0.0
