patient,drug,dose,n_genes_scored,mean_abs_half0,mean_abs_half1,r,r_responder,n_responders,n_plates_even
ACH-000120,(R)-Verapamil (hydrochloride),5.0,17314,0.9246,0.8461,0.0206,,3,True
ACH-000120,18β-Glycyrrhetinic acid,5.0,16513,0.9507,0.9291,0.0499,,18,True
ACH-000120,8-Hydroxyquinoline,5.0,16717,0.9714,0.7781,0.0696,,26,True
ACH-000120,Acetohexamide,5.0,17316,0.9221,0.862,0.019,,7,True
ACH-000120,Adagrasib,0.05,25710,0.5134,0.5957,0.0737,0.8837,148,True
ACH-000120,Adenine,5.0,17079,0.9725,0.7267,0.0489,,22,True
ACH-000120,Adenosine,5.0,17423,0.9079,0.8579,0.0023,,18,True
ACH-000120,Afatinib,0.05,18071,0.7678,0.8273,0.0205,0.062,111,False
ACH-000120,Afatinib,0.5,20257,0.6471,0.8408,0.0136,-0.1849,168,False
ACH-000120,Afatinib,5.0,14377,0.6294,1.2412,0.0126,-0.0297,119,False
ACH-000120,Aliskiren,5.0,17245,0.9389,0.8057,0.0229,,2,True
ACH-000120,Allantoin,5.0,16616,0.9724,0.858,0.0666,,33,True
ACH-000120,Almonertinib (hydrochloride),5.0,16390,0.9675,0.9327,0.0788,,33,True
ACH-000120,Almonertinib (mesylate),0.05,16299,0.7936,0.9328,0.0312,,2,True
ACH-000120,Almonertinib (mesylate),0.5,19434,0.8746,0.701,0.0092,0.4371,65,True
ACH-000120,Almonertinib (mesylate),5.0,16727,0.987,0.863,-0.0203,-0.0677,166,True
ACH-000120,Amsacrine,5.0,16424,0.9525,1.0932,0.0519,,16,True
ACH-000120,Anethole trithione,5.0,17034,0.9839,0.7798,0.0612,,20,True
ACH-000120,Artesunate,5.0,16437,0.9909,0.8259,0.0811,0.8495,81,True
ACH-000120,Azithromycin (hydrate),5.0,16655,0.9584,0.8612,0.0473,,2,True
ACH-000120,Baicalin,5.0,17351,0.9709,0.7898,0.0512,,7,True
ACH-000120,Balsalazide (sodium hydrate),5.0,17637,0.9455,0.7817,0.0477,,1,True
ACH-000120,Belumosudil,0.05,17199,0.7654,0.9293,0.0164,,4,True
ACH-000120,Belumosudil,0.5,19398,0.8376,0.7981,0.0192,,31,True
ACH-000120,Belumosudil,5.0,16370,0.8956,0.9528,0.0068,-0.1045,149,True
ACH-000120,Berbamine,0.5,16959,0.7672,0.9579,-0.0211,-0.3596,102,True
ACH-000120,Berbamine,5.0,16627,0.9651,0.8188,0.0566,,10,True
ACH-000120,Berbamine (dihydrochloride),0.05,16561,0.7683,0.938,0.039,,42,True
ACH-000120,Berbamine (dihydrochloride),0.5,18749,0.8711,0.7029,0.0093,,21,True
ACH-000120,Berbamine (dihydrochloride),5.0,16536,0.9938,0.8779,0.0071,0.092,140,True
ACH-000120,Berberine (chloride hydrate),5.0,17281,0.9668,0.7653,0.0255,,5,True
ACH-000120,Bergenin,5.0,16923,0.9699,0.7914,0.0302,,8,True
ACH-000120,Bimatoprost,5.0,17358,0.9224,0.8534,0.0283,,9,True
ACH-000120,Binimetinib,0.05,16502,1.0515,0.8429,0.1191,0.3496,233,True
ACH-000120,Binimetinib,0.5,17360,0.928,1.0896,0.2118,0.4006,251,True
ACH-000120,Binimetinib,5.0,13144,0.6878,1.2149,0.0873,0.42,599,True
ACH-000120,Busulfan,5.0,16553,0.9743,0.8598,0.0611,,23,True
ACH-000120,Captopril,0.05,17178,0.8352,0.8797,0.056,-0.1209,128,True
ACH-000120,Cepharanthine,5.0,16349,0.956,1.0502,0.0799,,22,True
ACH-000120,Chlorhexidine (diacetate),0.5,17428,0.7896,0.8943,-0.002,-0.4595,103,True
ACH-000120,Chlorhexidine (diacetate),5.0,16969,0.9537,0.7869,0.026,,10,True
ACH-000120,Ciclopirox,5.0,16353,0.9625,0.8611,0.0761,,14,True
ACH-000120,Clonidine (hydrochloride),5.0,17887,0.9584,0.7442,0.0528,,7,True
ACH-000120,Clotrimazole,5.0,16925,0.9588,0.8648,0.0577,,25,True
ACH-000120,Cloxacillin (sodium),5.0,17204,0.9532,0.7665,0.0113,,3,True
ACH-000120,Cysteamine (hydrochloride),5.0,17263,0.9449,0.7911,0.0304,,3,True
ACH-000120,Cytarabine,0.05,17056,0.8145,0.9411,0.0421,0.2062,106,True
ACH-000120,Cytarabine,0.5,18663,0.8853,0.7232,0.0113,0.2671,78,True
ACH-000120,Cytarabine,5.0,16668,0.795,0.9684,0.0212,,44,True
ACH-000120,Daidzin,0.05,16929,0.8042,0.9362,0.0034,,39,True
ACH-000120,Daidzin,0.5,18616,0.8719,0.686,0.0036,-0.2848,55,True
ACH-000120,Daidzin,5.0,16862,1.015,0.8581,-0.0198,0.1045,147,True
ACH-000120,Darinaparsin,5.0,16904,0.9416,0.8967,0.0579,,5,True
ACH-000120,Demeclocycline,5.0,16885,0.9286,0.8651,0.0131,,5,True
ACH-000120,Diammonium Glycyrrhizinate,5.0,16796,0.9604,0.8125,0.035,,11,True
ACH-000120,Docetaxel,5.0,17657,0.8898,0.8801,0.0318,,48,True
ACH-000120,Elagolix sodium,5.0,16842,0.9765,0.8424,0.0517,,13,True
ACH-000120,Flumatinib (mesylate),0.05,16359,0.7892,0.9271,0.005,0.2522,61,True
ACH-000120,Flumatinib (mesylate),0.5,18833,0.8339,0.7974,0.018,,30,True
ACH-000120,Flumatinib (mesylate),5.0,16515,0.8026,0.9618,-0.0056,,31,True
ACH-000120,Fluvoxamine (maleate),5.0,16758,0.9579,0.8268,0.0376,,1,True
ACH-000120,Folic acid,5.0,17233,0.9761,0.7304,0.0284,,8,True
ACH-000120,Fumaric acid,0.05,16692,0.7903,0.9427,0.018,,30,True
ACH-000120,Fumaric acid,0.5,19014,0.8702,0.7488,0.0036,,48,True
ACH-000120,Fumaric acid,5.0,17224,0.8615,0.906,-0.0414,,46,True
ACH-000120,Furosemide,5.0,17253,0.9284,0.8259,0.0083,,4,True
ACH-000120,Fusidic acid,5.0,17208,0.9539,0.7716,0.0391,,1,True
ACH-000120,Gallic acid,5.0,16851,0.9535,0.7433,0.046,,4,True
ACH-000120,Gallic acid (hydrate),5.0,16744,0.9755,0.8459,0.0734,,21,True
ACH-000120,Gemfibrozil,5.0,16877,0.9694,0.8549,0.038,,19,True
ACH-000120,Goserelin (acetate),5.0,17265,0.9553,0.7762,0.0305,,6,True
ACH-000120,Hexylresorcinol,5.0,17372,0.9491,0.8215,0.0539,,19,True
ACH-000120,Homoharringtonine,5.0,17119,1.2796,1.3022,0.4651,0.8878,1722,True
ACH-000120,Hydroxyfasudil,0.05,16456,1.5524,0.7321,0.0084,0.0666,91,True
ACH-000120,Idarubicin (hydrochloride),5.0,16466,1.3885,1.6257,0.5304,0.8031,736,True
ACH-000120,Irinotecan (hydrochloride),0.05,16160,0.8993,0.9213,0.0386,0.179,229,True
ACH-000120,Irinotecan (hydrochloride),0.5,18409,0.8998,0.7234,0.0035,-0.0275,149,True
ACH-000120,Irinotecan (hydrochloride),5.0,16542,1.0426,0.881,-0.0428,-0.1483,287,True
ACH-000120,Isocorydine,5.0,17140,0.977,0.7729,0.0302,,4,True
ACH-000120,L-Thyroxine (sodium salt pentahydrate),5.0,15642,1.7354,0.7887,0.0407,,43,True
ACH-000120,Larotrectinib,5.0,16770,0.9464,0.9727,0.0631,,8,True
ACH-000120,Lenalidomide (hemihydrate),5.0,16319,0.9423,0.8514,0.0307,,7,True
ACH-000120,Lidocaine (hydrochloride),5.0,16323,0.9677,1.0768,0.0487,,12,True
ACH-000120,Lipoic acid,5.0,17267,0.9428,0.7832,0.04,,5,True
ACH-000120,Lumateperone (tosylate),5.0,17134,0.9494,0.792,0.0282,,4,True
ACH-000120,Malotilate,0.05,17176,0.9687,0.8666,0.0896,0.052,662,True
ACH-000120,Medroxyprogesterone acetate,5.0,16194,0.9854,0.8381,0.0741,,18,True
ACH-000120,Megestrol,5.0,17501,0.9146,0.813,0.0124,,6,True
ACH-000120,Methylprednisolone succinate,0.05,16323,1.893,0.7556,-0.0154,,10,True
ACH-000120,Mitoxantrone (dihydrochloride),5.0,16967,0.8962,1.1497,-0.024,,25,True
ACH-000120,Naproxen,0.05,15751,0.7366,0.9922,0.0309,,5,True
ACH-000120,Naproxen,0.5,18813,0.8399,0.7326,0.0156,,8,True
ACH-000120,Naproxen,5.0,16197,0.7626,0.943,0.0133,,17,True
ACH-000120,Neratinib (maleate),5.0,16810,0.9732,0.8503,0.0816,,31,True
ACH-000120,Norepinephrine (hydrochloride),5.0,16688,0.9577,0.8743,0.0288,,6,True
ACH-000120,Olanzapine,5.0,17028,0.946,0.856,0.0336,,8,True
ACH-000120,Palmatine (chloride),5.0,16660,0.9472,0.8273,0.0429,,8,True
ACH-000120,Pasireotide (acetate),5.0,17726,0.9555,0.7689,0.0469,,5,True
ACH-000120,Pentagastrin,5.0,17579,0.9491,0.7375,0.031,,5,True
ACH-000120,Pentamidine (isethionate),0.5,16723,0.8948,0.8993,0.0274,-0.0876,52,True
ACH-000120,Pentamidine (isethionate),5.0,17124,0.9426,0.8527,0.0489,,15,True
ACH-000120,Pralsetinib,0.05,17579,0.9509,0.7791,-0.0083,,49,True
ACH-000120,Pravastatin (sodium),0.05,16003,0.8078,0.9224,0.0435,0.101,61,True
ACH-000120,Pravastatin (sodium),0.5,18337,0.8554,0.7115,-0.0021,-0.3265,53,True
ACH-000120,Pravastatin (sodium),5.0,16905,0.8962,0.8692,-0.0577,-0.2561,135,True
ACH-000120,Pyridoxine,5.0,16864,0.952,0.8527,0.0457,,14,True
ACH-000120,Pyridoxine (hydrochloride),5.0,17419,0.9856,0.7442,0.0396,,1,True
ACH-000120,Quinestrol,5.0,17296,0.9386,0.8049,0.0348,,6,True
ACH-000120,Radotinib,5.0,16585,1.0591,0.929,0.1884,0.8216,379,True
ACH-000120,Ralimetinib dimesylate,0.05,16108,1.9448,0.767,0.0213,,36,True
ACH-000120,Raltitrexed,5.0,17461,0.9674,0.7316,0.0475,,2,True
ACH-000120,Rapamycin,5.0,17523,0.939,0.8426,0.0322,,14,True
ACH-000120,Regorafenib,0.05,17420,0.9237,0.7845,-0.0038,,9,True
ACH-000120,Regorafenib,0.5,18405,0.8767,0.7822,0.004,,33,True
ACH-000120,Regorafenib,5.0,14020,0.6494,1.2176,-0.0035,,33,True
ACH-000120,Relugolix,5.0,17464,0.967,0.7568,0.0246,,8,True
ACH-000120,Resveratrol,5.0,16418,0.9994,0.8203,0.0657,0.4498,63,True
ACH-000120,Retinoic acid,5.0,17428,0.9451,0.8149,0.0519,,22,True
ACH-000120,Riluzole hydrochloride,5.0,17417,0.9361,0.8333,0.0557,,2,True
ACH-000120,Rimonabant,5.0,16898,0.9606,0.8032,0.0538,,12,True
ACH-000120,Ritonavir,5.0,16761,0.9442,0.8966,0.0487,,4,True
ACH-000120,Ropivacaine (hydrochloride monohydrate),5.0,16686,0.9537,0.8325,0.0548,,6,True
ACH-000120,S-Adenosyl-L-methionine (disulfate tosylate),5.0,16969,0.967,0.8406,0.0731,,5,True
ACH-000120,Salicylic acid,5.0,17306,0.9165,0.8653,0.0285,,18,True
ACH-000120,Saquinavir,5.0,16036,0.9762,0.9205,0.0816,,32,True
ACH-000120,Selinexor ,5.0,15807,1.1272,0.9266,0.1926,0.5852,121,True
ACH-000120,Sinomenine,5.0,16722,0.9656,0.7957,0.0503,,14,True
ACH-000120,Sodium Salicylate,5.0,17284,0.928,0.9105,0.0556,,14,True
ACH-000120,Sonidegib,0.05,16495,1.8009,0.7385,0.0196,,29,True
ACH-000120,Sulfisoxazole,0.5,16760,0.9225,0.923,0.0776,0.109,294,True
ACH-000120,Sulfisoxazole,5.0,16833,0.9683,0.8607,0.0613,,3,True
ACH-000120,Temsirolimus,5.0,16884,0.9505,0.8597,0.0632,,24,True
ACH-000120,Terfenadine,0.5,16488,0.9386,0.9796,0.0981,0.1016,593,True
ACH-000120,Terfenadine,5.0,16631,0.9534,0.8628,0.0327,,9,True
ACH-000120,Thymol,5.0,16389,0.9555,0.8962,0.0582,,9,True
ACH-000120,Tofacitinib,5.0,16628,0.969,0.8856,0.1099,,10,True
ACH-000120,Tofacitinib (citrate),5.0,16923,0.9392,0.8906,0.0214,,5,True
ACH-000120,Tolcapone,5.0,16680,0.9588,0.8357,0.0445,,10,True
ACH-000120,Topotecan (hydrochloride),0.05,16154,0.7487,0.9613,-0.013,,26,True
ACH-000120,Topotecan (hydrochloride),0.5,18998,0.829,0.8312,-0.0203,,43,True
ACH-000120,Topotecan (hydrochloride),5.0,15913,0.7692,1.178,-0.0054,,17,True
ACH-000120,Trametinib,0.05,16632,0.9489,0.9251,0.0877,0.3851,79,True
ACH-000120,Trametinib,0.5,17299,0.9131,1.1301,0.2024,0.4138,298,True
ACH-000120,Trametinib,5.0,13962,0.7181,1.2499,0.0524,0.3919,736,True
ACH-000120,Triamcinolone,5.0,16587,0.9608,0.8566,0.0782,,18,True
ACH-000120,Triclosan,5.0,17176,0.9367,0.8406,0.0427,,11,True
ACH-000120,Trifluridine,5.0,16451,0.9334,0.8506,0.0554,,18,True
ACH-000120,Trimetrexate,5.0,16565,0.9725,0.8653,0.0497,,8,True
ACH-000120,Tucidinostat,5.0,17293,0.9623,1.2121,0.1553,,21,True
ACH-000120,Vilanterol,5.0,16694,0.95,0.8623,0.0349,,6,True
ACH-000120,Vinblastine (sulfate),5.0,16745,1.0018,1.0311,0.1466,0.7932,151,True
ACH-000120,olaparib,0.05,16447,1.8233,0.746,0.025,,27,True
ACH-000138,(R)-Verapamil (hydrochloride),5.0,25171,0.7606,0.6944,0.0547,0.6708,271,True
ACH-000138,18β-Glycyrrhetinic acid,5.0,24419,0.7854,0.7585,0.0701,0.6801,616,True
ACH-000138,8-Hydroxyquinoline,5.0,24714,0.8088,0.6712,0.0812,0.7642,617,True
ACH-000138,Acetohexamide,5.0,24863,0.7757,0.7257,0.0411,0.5503,413,True
ACH-000138,Adagrasib,0.05,34309,0.4523,0.5148,0.1282,0.6741,3768,True
ACH-000138,Adenine,5.0,24604,0.7931,0.6436,0.06,0.6528,330,True
ACH-000138,Adenosine,5.0,25017,0.7725,0.7504,0.0609,0.755,554,True
ACH-000138,Afatinib,0.05,26362,0.6236,0.7429,0.0256,-0.0739,2350,False
ACH-000138,Afatinib,0.5,28484,0.5832,0.7399,0.0229,-0.0974,2050,False
ACH-000138,Afatinib,5.0,26075,0.6097,0.9442,0.0101,0.2288,1874,False
ACH-000138,Aliskiren,5.0,25147,0.7626,0.6959,0.0428,0.7678,395,True
ACH-000138,Allantoin,5.0,24483,0.8124,0.7137,0.0934,0.7299,1016,True
ACH-000138,Almonertinib (hydrochloride),5.0,24303,0.8153,0.7156,0.0747,0.6697,812,True
ACH-000138,Almonertinib (mesylate),0.05,24087,0.6906,0.7853,0.0257,0.2111,756,True
ACH-000138,Almonertinib (mesylate),0.5,27065,0.7653,0.6724,0.0047,0.1427,1339,True
ACH-000138,Almonertinib (mesylate),5.0,24958,0.78,0.7426,-0.0118,-0.2228,925,True
ACH-000138,Amsacrine,5.0,25220,0.8107,0.7791,0.1143,0.806,802,True
ACH-000138,Anethole trithione,5.0,24882,0.8073,0.6883,0.0784,0.7925,833,True
ACH-000138,Artesunate,5.0,24519,0.8191,0.6726,0.1035,0.8128,972,True
ACH-000138,Azithromycin (hydrate),5.0,24595,0.7925,0.7309,0.0757,0.7343,616,True
ACH-000138,Baicalin,5.0,25170,0.8167,0.6752,0.0822,0.6857,594,True
ACH-000138,Balsalazide (sodium hydrate),5.0,25275,0.7782,0.6665,0.0558,0.7825,228,True
ACH-000138,Belumosudil,0.05,24650,0.6892,0.7878,0.029,0.3984,725,True
ACH-000138,Belumosudil,0.5,26819,0.7444,0.7075,0.0221,0.1542,1096,True
ACH-000138,Belumosudil,5.0,24527,0.7361,0.8444,0.0303,-0.0857,1256,True
ACH-000138,Berbamine,0.5,25578,0.7255,0.7269,-0.0077,-0.2691,1917,True
ACH-000138,Berbamine,5.0,24520,0.78,0.6608,0.0397,0.6921,479,True
ACH-000138,Berbamine (dihydrochloride),0.05,24381,0.7044,0.7846,0.0337,0.4817,1392,True
ACH-000138,Berbamine (dihydrochloride),0.5,26481,0.7625,0.6806,0.0212,0.1521,1594,True
ACH-000138,Berbamine (dihydrochloride),5.0,24561,0.8203,0.7758,0.01,-0.0245,1019,True
ACH-000138,Berberine (chloride hydrate),5.0,25178,0.8003,0.6569,0.0472,0.7531,406,True
ACH-000138,Bergenin,5.0,24583,0.7942,0.6742,0.0538,0.6426,508,True
ACH-000138,Bimatoprost,5.0,25191,0.784,0.7307,0.0689,0.5726,596,True
ACH-000138,Binimetinib,0.05,25546,0.7992,0.7709,0.1341,0.6932,2922,True
ACH-000138,Binimetinib,0.5,26085,0.814,0.8426,0.0993,0.5169,3203,True
ACH-000138,Binimetinib,5.0,23789,0.665,0.927,0.1444,0.6772,3601,True
ACH-000138,Busulfan,5.0,24234,0.8063,0.6955,0.0908,0.6415,779,True
ACH-000138,Captopril,0.05,24833,0.7604,0.7466,0.0384,-0.0445,1853,True
ACH-000138,Cepharanthine,5.0,24200,0.7978,0.8117,0.1044,0.7772,743,True
ACH-000138,Chlorhexidine (diacetate),0.5,25710,0.7416,0.7447,0.0004,-0.0451,1777,True
ACH-000138,Chlorhexidine (diacetate),5.0,25166,0.7915,0.7017,0.0601,0.7397,681,True
ACH-000138,Ciclopirox,5.0,24133,0.7932,0.7855,0.0939,0.5673,576,True
ACH-000138,Clonidine (hydrochloride),5.0,25352,0.8057,0.6586,0.0554,0.7492,465,True
ACH-000138,Clotrimazole,5.0,24973,0.775,0.7244,0.0617,0.8158,378,True
ACH-000138,Cloxacillin (sodium),5.0,24970,0.7978,0.6531,0.0503,0.7467,512,True
ACH-000138,Cysteamine (hydrochloride),5.0,25112,0.7742,0.6654,0.0583,0.7016,345,True
ACH-000138,Cytarabine,0.05,25210,0.7186,0.8097,0.0509,0.2864,1250,True
ACH-000138,Cytarabine,0.5,26450,0.7507,0.6778,0.0003,-0.0063,1050,True
ACH-000138,Cytarabine,5.0,24639,0.6788,0.8416,0.0307,0.2868,1018,True
ACH-000138,DTP3,0.05,24985,3.5536,0.7299,-0.0081,0.007,8780,True
ACH-000138,Daidzin,0.05,24671,0.7149,0.7901,0.021,0.0524,1588,True
ACH-000138,Daidzin,0.5,26389,0.7753,0.6839,0.0222,0.072,1345,True
ACH-000138,Daidzin,5.0,24798,0.8233,0.7593,0.0064,-0.0418,990,True
ACH-000138,Darinaparsin,5.0,24891,0.8005,0.7512,0.0855,0.8141,856,True
ACH-000138,Demeclocycline,5.0,24681,0.7761,0.7166,0.0199,0.48,427,True
ACH-000138,Diammonium Glycyrrhizinate,5.0,24704,0.7936,0.6875,0.0683,0.7912,438,True
ACH-000138,Docetaxel,5.0,25448,0.7725,0.756,0.0707,0.7617,882,True
ACH-000138,Elagolix sodium,5.0,24208,0.794,0.6861,0.0698,0.6945,730,True
ACH-000138,Flumatinib (mesylate),0.05,24229,0.7049,0.7981,0.015,0.1943,1683,True
ACH-000138,Flumatinib (mesylate),0.5,26289,0.7621,0.7278,0.0315,0.3206,1619,True
ACH-000138,Flumatinib (mesylate),5.0,24593,0.7297,0.8064,-0.0176,-0.1532,1221,True
ACH-000138,Fluvoxamine (maleate),5.0,24609,0.7928,0.7288,0.0736,0.8284,471,True
ACH-000138,Folic acid,5.0,24395,0.7879,0.6389,0.0503,0.6612,302,True
ACH-000138,Fumaric acid,0.05,24511,0.702,0.8219,0.0275,0.1443,1192,True
ACH-000138,Fumaric acid,0.5,26763,0.7764,0.7223,0.007,0.1474,1259,True
ACH-000138,Fumaric acid,5.0,25023,0.7511,0.8219,-0.0277,-0.2324,1424,True
ACH-000138,Furosemide,5.0,24726,0.7656,0.6945,0.0481,0.819,248,True
ACH-000138,Fusidic acid,5.0,24796,0.7797,0.678,0.0683,0.8036,342,True
ACH-000138,Gallic acid,5.0,24802,0.7926,0.6572,0.0516,0.7112,531,True
ACH-000138,Gallic acid (hydrate),5.0,24581,0.8044,0.7196,0.0665,0.678,656,True
ACH-000138,Gemfibrozil,5.0,24959,0.7845,0.7125,0.0554,0.7312,742,True
ACH-000138,Goserelin (acetate),5.0,24990,0.8261,0.653,0.0487,0.6804,1159,True
ACH-000138,Hexylresorcinol,5.0,25814,0.7879,0.6814,0.0596,0.7101,928,True
ACH-000138,Homoharringtonine,5.0,26082,1.448,1.5042,0.6702,0.9134,9183,True
ACH-000138,Hydroxyfasudil,0.05,24811,2.3619,0.7127,-0.0134,0.0014,531,True
ACH-000138,Idarubicin (hydrochloride),5.0,27033,1.4109,1.4885,0.6372,0.8925,8188,True
ACH-000138,Irinotecan (hydrochloride),0.05,23924,0.7292,0.7907,0.0412,0.1526,2085,True
ACH-000138,Irinotecan (hydrochloride),0.5,26492,0.7852,0.6933,-0.0281,-0.1411,1953,True
ACH-000138,Irinotecan (hydrochloride),5.0,24833,0.8108,0.7934,-0.0222,-0.1762,3003,True
ACH-000138,Isocorydine,5.0,24974,0.7885,0.6721,0.0419,0.6133,609,True
ACH-000138,L-Thyroxine (sodium salt pentahydrate),5.0,23069,2.3639,0.6264,0.0231,0.159,292,True
ACH-000138,Larotrectinib,5.0,24739,0.7948,0.7657,0.0866,0.6179,464,True
ACH-000138,Lenalidomide (hemihydrate),5.0,24103,0.7714,0.6944,0.0769,0.7684,404,True
ACH-000138,Lidocaine (hydrochloride),5.0,24122,0.8023,0.7854,0.093,0.6776,849,True
ACH-000138,Lipoic acid,5.0,25205,0.7822,0.6677,0.0305,0.7019,545,True
ACH-000138,Lumateperone (tosylate),5.0,24857,0.7824,0.6563,0.0438,0.7057,314,True
ACH-000138,Malotilate,0.05,25027,0.8114,0.7336,0.0123,-0.1503,3120,True
ACH-000138,Medroxyprogesterone acetate,5.0,24083,0.7857,0.6957,0.0582,0.6921,496,True
ACH-000138,Megestrol,5.0,25300,0.7781,0.6991,0.0475,0.7265,600,True
ACH-000138,Methylprednisolone succinate,0.05,24672,3.1779,0.7058,-0.0145,0.005,6084,True
ACH-000138,Mitoxantrone (dihydrochloride),5.0,25117,0.8043,1.0163,0.0996,0.6258,839,True
ACH-000138,Naproxen,0.05,23881,0.6624,0.7853,0.031,0.0515,645,True
ACH-000138,Naproxen,0.5,26494,0.7355,0.701,-0.0127,-0.2453,781,True
ACH-000138,Naproxen,5.0,24255,0.6941,0.7694,-0.0149,-0.4001,702,True
ACH-000138,Neratinib (maleate),5.0,24619,0.8086,0.726,0.1069,0.7856,666,True
ACH-000138,Norepinephrine (hydrochloride),5.0,24486,0.7866,0.7203,0.06,0.4772,406,True
ACH-000138,Olanzapine,5.0,24749,0.7931,0.7167,0.0826,0.7726,545,True
ACH-000138,Palmatine (chloride),5.0,24653,0.798,0.6993,0.0691,0.7077,592,True
ACH-000138,Pasireotide (acetate),5.0,25474,0.8265,0.6858,0.0848,0.565,991,True
ACH-000138,Pentagastrin,5.0,25337,0.7919,0.663,0.0583,0.6903,455,True
ACH-000138,Pentamidine (isethionate),0.5,24937,0.77,0.7343,0.0414,-0.0976,849,True
ACH-000138,Pentamidine (isethionate),5.0,25041,0.7769,0.7311,0.0653,0.7545,717,True
ACH-000138,Pralsetinib,0.05,25942,0.7679,0.7296,0.0186,-0.0063,1663,True
ACH-000138,Pravastatin (sodium),0.05,23731,0.7056,0.7811,0.0301,0.201,1199,True
ACH-000138,Pravastatin (sodium),0.5,26163,0.7478,0.6879,-0.0007,0.0207,1346,True
ACH-000138,Pravastatin (sodium),5.0,24755,0.7662,0.788,-0.0423,-0.1821,1487,True
ACH-000138,Pyridoxine,5.0,24383,0.7813,0.7318,0.0466,0.6358,576,True
ACH-000138,Pyridoxine (hydrochloride),5.0,24592,0.8069,0.649,0.0805,0.7107,626,True
ACH-000138,Quinestrol,5.0,25307,0.7674,0.7095,0.0669,0.7595,606,True
ACH-000138,Radotinib,5.0,24591,0.8158,0.7252,0.0986,0.7674,1243,True
ACH-000138,Ralimetinib dimesylate,0.05,24516,3.5955,0.7191,0.0199,0.0261,8700,True
ACH-000138,Raltitrexed,5.0,25146,0.8005,0.6621,0.0742,0.7803,536,True
ACH-000138,Rapamycin,5.0,24418,0.7975,0.7462,0.0988,0.6328,731,True
ACH-000138,Regorafenib,0.05,25649,0.7424,0.7127,0.0019,-0.0569,945,True
ACH-000138,Regorafenib,0.5,26442,0.7579,0.6887,0.0222,-0.2266,946,True
ACH-000138,Regorafenib,5.0,24076,0.6905,0.8807,0.0007,-0.2697,1125,True
ACH-000138,Relugolix,5.0,25231,0.7902,0.6408,0.0125,0.6954,321,True
ACH-000138,Resveratrol,5.0,24200,0.8169,0.676,0.0644,0.4789,907,True
ACH-000138,Retinoic acid,5.0,25287,0.7883,0.7032,0.0724,0.7541,812,True
ACH-000138,Riluzole hydrochloride,5.0,25339,0.8,0.7299,0.0841,0.7321,1188,True
ACH-000138,Rimonabant,5.0,24793,0.7902,0.6836,0.0865,0.7345,516,True
ACH-000138,Ritonavir,5.0,24377,0.7815,0.7213,0.0863,0.7787,444,True
ACH-000138,Ropivacaine (hydrochloride monohydrate),5.0,24581,0.8015,0.6988,0.0865,0.8167,655,True
ACH-000138,S-Adenosyl-L-methionine (disulfate tosylate),5.0,24894,0.8094,0.7297,0.095,0.8129,845,True
ACH-000138,Salicylic acid,5.0,24938,0.7626,0.7643,0.0716,0.7435,350,True
ACH-000138,Saquinavir,5.0,23844,0.7885,0.776,0.1006,0.6231,593,True
ACH-000138,Selinexor ,5.0,23433,1.0708,0.8202,0.2603,0.6913,1905,True
ACH-000138,Sinomenine,5.0,24692,0.7948,0.6638,0.0547,0.7039,502,True
ACH-000138,Sodium Salicylate,5.0,25450,0.7761,0.75,0.0646,0.6327,836,True
ACH-000138,Sonidegib,0.05,24918,2.9182,0.7122,0.0027,-0.0213,361,True
ACH-000138,Sulfisoxazole,0.5,24949,0.7957,0.744,0.0995,0.1499,1902,True
ACH-000138,Sulfisoxazole,5.0,24845,0.8013,0.7275,0.0764,0.5994,421,True
ACH-000138,Temsirolimus,5.0,24706,0.7941,0.7517,0.0827,0.8525,544,True
ACH-000138,Terfenadine,0.5,24502,0.8217,0.7243,0.0547,-0.1134,2048,True
ACH-000138,Terfenadine,5.0,24451,0.808,0.7141,0.08,0.7107,898,True
ACH-000138,Thymol,5.0,24310,0.8,0.689,0.0683,0.5764,736,True
ACH-000138,Tofacitinib,5.0,24736,0.8237,0.7573,0.1313,0.744,1098,True
ACH-000138,Tofacitinib (citrate),5.0,25065,0.7909,0.7485,0.0845,0.5961,920,True
ACH-000138,Tolcapone,5.0,24829,0.7896,0.7128,0.0686,0.7693,393,True
ACH-000138,Topotecan (hydrochloride),0.05,23756,0.6894,0.8121,0.0126,-0.0347,1368,True
ACH-000138,Topotecan (hydrochloride),0.5,26562,0.745,0.8833,-0.0347,-0.4357,1248,True
ACH-000138,Topotecan (hydrochloride),5.0,23977,0.7057,1.2584,-0.0347,-0.2074,1307,True
ACH-000138,Trametinib,0.05,25095,0.7897,0.7956,0.1435,0.4574,2448,True
ACH-000138,Trametinib,0.5,25960,0.7964,0.8287,0.1256,0.6021,2610,True
ACH-000138,Trametinib,5.0,25393,0.719,0.9784,0.152,0.6271,3839,True
ACH-000138,Triamcinolone,5.0,25121,0.8194,0.7709,0.1051,0.5916,1663,True
ACH-000138,Triclosan,5.0,25075,0.775,0.723,0.06,0.7163,467,True
ACH-000138,Trifluridine,5.0,24417,0.7803,0.6998,0.0607,0.7309,224,True
ACH-000138,Trimetrexate,5.0,24356,0.7885,0.7368,0.0773,0.7131,386,True
ACH-000138,Tucidinostat,5.0,25777,0.8732,1.0438,0.2854,0.8592,1993,True
ACH-000138,Vilanterol,5.0,24515,0.8011,0.7146,0.0804,0.8096,781,True
